customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,TechSupport,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,DataVersion
7590-VHVEG0054,Female,0,Yes,No,4,Yes,Fiber optic,No internet service,One year,Mailed check,60.03,228.15,No,v1.0
7590-VHVEG0055,Female,0,No,No,54,Yes,Fiber optic,No,Two year,Mailed check,56.52,,No,v1.0
7590-VHVEG0056,Female,0,Yes,No,63,Yes,DSL,No internet service,Month-to-month,Electronic check,45.46,2735.18,No,v1.0
7590-VHVEG0057,Female,0,No,Yes,18,Yes,Fiber optic,No,Month-to-month,Electronic check,90.9,1596.45,Yes,v1.0
7590-VHVEG0058,Female,1,No,Yes,44,Yes,Fiber optic,No internet service,One year,Mailed check,68.6,2885.27,No,v1.0
7590-VHVEG0059,Male,0,Yes,No,34,Yes,Fiber optic,No internet service,Month-to-month,Electronic check,27.94,959.91,Yes,v1.0
7590-VHVEG0060,Female,0,Yes,Yes,62,Yes,Fiber optic,Yes,Month-to-month,Credit card,41.58,2625.93,No,v1.0
7590-VHVEG0061,Male,0,No,No,14,Yes,No,Yes,Month-to-month,Mailed check,86.96,1170.5,Yes,v1.0
7590-VHVEG0062,Male,0,Yes,Yes,48,Yes,No,Yes,Month-to-month,Electronic check,27.46,,No,v1.0
7590-VHVEG0063,Female,0,Yes,No,15,Yes,Fiber optic,No,Month-to-month,Credit card,103.42,1544.49,No,v1.0
7590-VHVEG0064,Male,0,No,Yes,62,No,DSL,No internet service,Month-to-month,Electronic check,68.52,4192.88,Yes,v1.0
7590-VHVEG0065,Male,0,No,No,40,Yes,No,No,One year,Electronic check,67.1,2582.19,No,v1.0
7590-VHVEG0066,Male,1,No,No,53,Yes,Fiber optic,No,Month-to-month,Electronic check,78.06,4103.44,Yes,v1.0
7590-VHVEG0067,Female,0,No,Yes,24,Yes,No,Yes,Month-to-month,Mailed check,100.82,2480.43,Yes,v1.0
7590-VHVEG0068,Male,0,No,No,26,Yes,No,No internet service,Two year,Bank transfer,54.09,1345.89,Yes,v1.0
7590-VHVEG0069,Male,0,Yes,No,60,Yes,Fiber optic,No internet service,Month-to-month,Electronic check,86.45,4968.99,No,v1.0
7590-VHVEG0070,Female,0,No,Yes,41,Yes,Fiber optic,Yes,Month-to-month,Credit card,75.44,3048.19,Yes,v1.0
7590-VHVEG0071,Male,0,No,No,29,No,No,No,Two year,Mailed check,46.17,1398.04,No,v1.0
7590-VHVEG0072,Male,0,No,No,15,Yes,DSL,Yes,Month-to-month,Mailed check,106.11,1618.42,Yes,v1.0
7590-VHVEG0073,Male,0,Yes,Yes,45,Yes,Fiber optic,No,Month-to-month,Credit card,98.15,4495.56,Yes,v1.0
7590-VHVEG0074,Female,1,No,Yes,65,Yes,Fiber optic,No,Month-to-month,Electronic check,84.53,5418.47,No,v1.0
7590-VHVEG0075,Male,0,No,No,71,Yes,Fiber optic,Yes,Month-to-month,Bank transfer,103.36,7407.08,Yes,v1.0
7590-VHVEG0076,Male,0,Yes,No,9,Yes,DSL,No,One year,Electronic check,104.99,898.66,No,v1.0
7590-VHVEG0077,Female,1,No,No,1,Yes,DSL,No,Two year,Credit card,89.42,90.64,Yes,v1.0
7590-VHVEG0078,Female,0,No,Yes,8,Yes,No,No,Month-to-month,Mailed check,102.03,849.95,Yes,v1.0
7590-VHVEG0079,Female,0,No,No,63,Yes,Fiber optic,No,One year,Bank transfer,88.35,5628.85,Yes,v1.0
7590-VHVEG0080,Male,0,Yes,Yes,11,Yes,DSL,Yes,Month-to-month,Mailed check,86.65,988.81,Yes,v1.0
7590-VHVEG0081,Female,0,Yes,No,8,Yes,DSL,No,Month-to-month,Credit card,80.62,659.44,Yes,v1.0
7590-VHVEG0082,Female,0,No,Yes,35,Yes,Fiber optic,No,One year,Electronic check,93.77,3157.29,No,v1.0
7590-VHVEG0083,Female,0,No,No,35,Yes,Fiber optic,No,Month-to-month,Bank transfer,35.54,1294.08,Yes,v1.0
7590-VHVEG0084,Male,0,No,No,33,Yes,No,Yes,Month-to-month,Mailed check,106.33,3356.61,No,v1.0
7590-VHVEG0085,Female,0,Yes,No,5,Yes,No,No,Month-to-month,Mailed check,105.44,528.99,No,v1.0
7590-VHVEG0086,Female,0,Yes,No,41,Yes,DSL,No internet service,Month-to-month,Mailed check,22.87,903.97,Yes,v1.0
7590-VHVEG0087,Female,0,Yes,No,28,Yes,DSL,Yes,Month-to-month,Electronic check,100.93,2688.05,Yes,v1.0
7590-VHVEG0088,Female,0,Yes,No,7,Yes,Fiber optic,No,Two year,Bank transfer,32.63,226.62,Yes,v1.0
7590-VHVEG0089,Female,0,Yes,No,12,Yes,DSL,Yes,Month-to-month,Electronic check,52.84,621.1,Yes,v1.0
7590-VHVEG0090,Male,1,Yes,Yes,34,Yes,DSL,No,Month-to-month,Electronic check,92.86,3152.95,Yes,v1.0
7590-VHVEG0091,Male,1,No,No,33,Yes,DSL,Yes,Month-to-month,Electronic check,35.75,1189.01,No,v1.0
7590-VHVEG0092,Female,0,Yes,No,48,Yes,No,No,One year,Credit card,100.16,4588.36,No,v1.0
7590-VHVEG0093,Female,0,No,Yes,23,Yes,DSL,No,One year,Credit card,101.55,2247.58,Yes,v1.0
7590-VHVEG0094,Female,0,Yes,Yes,62,Yes,Fiber optic,No,One year,Credit card,69.73,4348.73,No,v1.0
7590-VHVEG0095,Male,0,No,No,37,Yes,DSL,No,One year,Bank transfer,20.63,751.19,No,v1.0
7590-VHVEG0096,Male,0,Yes,Yes,44,Yes,Fiber optic,No,Two year,Electronic check,48.13,2166.24,No,v1.0
7590-VHVEG0097,Male,0,No,No,35,Yes,Fiber optic,No,Month-to-month,Electronic check,80.46,2858.95,Yes,v1.0
7590-VHVEG0098,Male,0,No,No,65,Yes,Fiber optic,Yes,Month-to-month,Credit card,116.16,7811.09,No,v1.0
7590-VHVEG0099,Female,0,No,No,47,Yes,Fiber optic,Yes,Two year,Electronic check,81.92,3924.25,No,v1.0
7590-VHVEG0100,Female,0,Yes,Yes,3,No,DSL,No internet service,Two year,Electronic check,45.46,135.43,No,v1.0
7590-VHVEG0101,Female,0,Yes,No,1,Yes,DSL,Yes,Two year,Mailed check,82.13,83.55,Yes,v1.0
7590-VHVEG0102,Female,0,Yes,No,5,Yes,DSL,No,Month-to-month,Electronic check,72.92,356.4,Yes,v1.0
7590-VHVEG0103,Male,0,No,No,14,Yes,DSL,No internet service,Month-to-month,Mailed check,96.42,1323.8,Yes,v1.0
7590-VHVEG0104,Female,1,No,Yes,27,Yes,Fiber optic,Yes,Month-to-month,Electronic check,30.48,846.86,No,v1.0
7590-VHVEG0105,Male,0,No,No,9,No,No,No,One year,Bank transfer,94.58,846.67,No,v1.0
7590-VHVEG0106,Male,0,Yes,No,15,Yes,Fiber optic,No,Month-to-month,Credit card,73.04,1128.35,Yes,v1.0
7590-VHVEG0107,Female,0,Yes,No,42,Yes,Fiber optic,No internet service,Month-to-month,Mailed check,114.37,,Yes,v1.0
7590-VHVEG0108,Male,0,No,No,51,Yes,DSL,No internet service,Two year,Credit card,53.5,2826.24,Yes,v1.0
7590-VHVEG0109,Male,0,Yes,Yes,63,Yes,Fiber optic,No,Month-to-month,Mailed check,82.0,5381.03,No,v1.0
7590-VHVEG0110,Female,0,Yes,No,52,Yes,Fiber optic,Yes,Two year,Mailed check,111.34,5749.66,Yes,v1.0
7590-VHVEG0111,Male,0,Yes,No,4,Yes,DSL,No,Month-to-month,Mailed check,30.05,118.01,No,v1.0
7590-VHVEG0112,Male,0,Yes,No,23,Yes,DSL,No,Month-to-month,Bank transfer,111.85,2593.66,Yes,v1.0
7590-VHVEG0113,Female,0,No,No,15,Yes,Fiber optic,No,Month-to-month,Electronic check,87.41,1294.3,Yes,v1.0
7590-VHVEG0114,Male,0,Yes,No,43,Yes,No,Yes,One year,Mailed check,26.65,1157.45,No,v1.0
7590-VHVEG0115,Male,0,Yes,No,29,Yes,DSL,Yes,Month-to-month,Bank transfer,49.49,1464.85,Yes,v1.0
7590-VHVEG0116,Female,1,No,Yes,36,Yes,No,No,Month-to-month,Mailed check,89.4,3279.07,Yes,v1.0
7590-VHVEG0117,Male,0,No,Yes,13,Yes,Fiber optic,No,Two year,Electronic check,26.6,341.47,No,v1.0
7590-VHVEG0118,Female,0,Yes,No,32,Yes,DSL,No,Month-to-month,Mailed check,77.05,2383.54,Yes,v1.0
7590-VHVEG0119,Male,0,Yes,No,71,Yes,No,No,One year,Bank transfer,53.9,3800.07,No,v1.0
7590-VHVEG0120,Male,0,Yes,No,59,Yes,DSL,No internet service,One year,Electronic check,80.85,4599.65,No,v1.0
7590-VHVEG0121,Female,0,Yes,No,28,Yes,DSL,No,Month-to-month,Bank transfer,24.48,712.26,No,v1.0
7590-VHVEG0122,Female,0,No,Yes,66,Yes,Fiber optic,Yes,One year,Electronic check,105.41,6849.88,Yes,v1.0
7590-VHVEG0123,Male,1,No,No,42,Yes,Fiber optic,Yes,Month-to-month,Electronic check,115.4,4679.4,No,v1.0
7590-VHVEG0124,Female,1,No,No,45,Yes,DSL,Yes,One year,Credit card,114.95,4927.28,No,v1.0
7590-VHVEG0125,Male,0,Yes,No,62,No,Fiber optic,No internet service,Month-to-month,Credit card,93.47,5879.39,Yes,v1.0
7590-VHVEG0126,Female,0,Yes,No,57,Yes,No,No,One year,Credit card,32.75,1892.22,No,v1.0
7590-VHVEG0127,Male,0,No,No,6,Yes,Fiber optic,No,Month-to-month,Electronic check,94.31,556.84,Yes,v1.0
7590-VHVEG0128,Male,0,Yes,No,28,Yes,No,No,One year,Mailed check,22.41,600.59,Yes,v1.0
7590-VHVEG0129,Male,0,No,No,28,Yes,No,No,Month-to-month,Bank transfer,22.17,,No,v1.0
7590-VHVEG0130,Male,0,No,Yes,44,Yes,Fiber optic,No internet service,Month-to-month,Bank transfer,51.71,2232.45,No,v1.0
7590-VHVEG0131,Male,1,No,No,30,Yes,Fiber optic,No,Month-to-month,Bank transfer,67.89,2072.68,Yes,v1.0
7590-VHVEG0132,Female,0,No,No,62,Yes,No,Yes,Month-to-month,Credit card,95.5,5983.63,Yes,v1.0
7590-VHVEG0133,Female,0,No,No,62,Yes,No,Yes,Two year,Electronic check,86.96,5318.7,No,v1.0
7590-VHVEG0134,Male,0,No,No,1,Yes,Fiber optic,No,Month-to-month,Credit card,63.7,61.9,No,v1.0
7590-VHVEG0135,Male,1,No,No,27,Yes,Fiber optic,No internet service,Two year,Mailed check,46.82,1325.7,No,v1.0
7590-VHVEG0136,Female,0,Yes,No,62,Yes,DSL,No,Two year,Electronic check,117.72,7264.96,Yes,v1.0
7590-VHVEG0137,Female,0,No,Yes,3,Yes,DSL,No internet service,One year,Bank transfer,61.77,188.79,No,v1.0
7590-VHVEG0138,Female,0,No,Yes,70,Yes,Fiber optic,No,Month-to-month,Credit card,64.24,4334.89,Yes,v1.0
7590-VHVEG0139,Female,0,Yes,No,27,Yes,DSL,Yes,Month-to-month,Credit card,36.04,971.55,Yes,v1.0
7590-VHVEG0140,Female,0,No,No,9,Yes,Fiber optic,Yes,One year,Mailed check,97.89,839.4,No,v1.0
7590-VHVEG0141,Male,1,Yes,Yes,62,Yes,Fiber optic,Yes,Month-to-month,Mailed check,87.98,5457.79,Yes,v1.0
7590-VHVEG0142,Male,0,No,No,37,Yes,Fiber optic,No,Month-to-month,Credit card,41.64,1611.99,No,v1.0
7590-VHVEG0143,Female,0,Yes,No,51,Yes,Fiber optic,Yes,One year,Mailed check,28.07,1415.16,No,v1.0
7590-VHVEG0144,Female,0,Yes,Yes,44,Yes,Fiber optic,No,Two year,Bank transfer,86.69,3638.47,No,v1.0
7590-VHVEG0145,Female,0,Yes,No,24,Yes,DSL,No,One year,Mailed check,84.14,1924.69,No,v1.0
7590-VHVEG0146,Female,0,No,Yes,59,Yes,Fiber optic,No,Month-to-month,Mailed check,46.78,2729.07,No,v1.0
7590-VHVEG0147,Female,0,Yes,No,32,No,Fiber optic,Yes,One year,Credit card,113.18,3498.77,Yes,v1.0
7590-VHVEG0148,Female,1,No,No,52,Yes,Fiber optic,No,Month-to-month,Credit card,34.8,1723.53,No,v1.0
7590-VHVEG0149,Female,0,No,No,62,Yes,No,No,Month-to-month,Electronic check,62.37,3965.94,No,v1.0
7590-VHVEG0150,Female,0,No,No,58,Yes,Fiber optic,No,Two year,Electronic check,112.47,6496.46,No,v1.0
7590-VHVEG0151,Female,0,No,Yes,52,Yes,Fiber optic,No internet service,Month-to-month,Credit card,61.13,3111.93,No,v1.0
7590-VHVEG0152,Male,0,No,No,12,Yes,DSL,Yes,Month-to-month,Mailed check,82.58,1030.55,No,v1.0
7590-VHVEG0153,Female,0,No,No,39,No,No,No internet service,Month-to-month,Mailed check,58.96,2211.33,No,v1.0
7590-VHVEG0154,Female,0,No,No,2,No,Fiber optic,No,Two year,Electronic check,46.87,98.02,No,v1.0
7590-VHVEG0155,Male,0,Yes,No,3,Yes,DSL,No,One year,Electronic check,116.43,342.79,No,v1.0
7590-VHVEG0156,Male,0,No,No,56,Yes,DSL,No,One year,Electronic check,60.11,3497.18,No,v1.0
7590-VHVEG0157,Male,0,No,No,59,Yes,DSL,No,One year,Bank transfer,107.62,,No,v1.0
7590-VHVEG0158,Female,0,Yes,Yes,2,Yes,Fiber optic,Yes,Month-to-month,Bank transfer,42.54,87.85,Yes,v1.0
7590-VHVEG0159,Female,0,No,No,2,Yes,DSL,No,Month-to-month,Electronic check,40.88,85.73,Yes,v1.0
7590-VHVEG0160,Female,1,Yes,No,54,Yes,Fiber optic,No,Month-to-month,Mailed check,23.05,1218.42,No,v1.0
7590-VHVEG0161,Female,0,Yes,No,1,Yes,DSL,No,Month-to-month,Electronic check,83.86,87.73,Yes,v1.0
7590-VHVEG0162,Male,1,No,No,19,Yes,DSL,No,Month-to-month,Bank transfer,56.12,1054.41,Yes,v1.0
7590-VHVEG0163,Female,0,No,Yes,2,Yes,Fiber optic,No internet service,Two year,Mailed check,104.71,207.02,No,v1.0
7590-VHVEG0164,Female,0,Yes,No,53,Yes,No,No,Month-to-month,Bank transfer,66.37,3461.7,No,v1.0
7590-VHVEG0165,Male,0,No,No,44,Yes,Fiber optic,Yes,Month-to-month,Mailed check,114.88,5075.78,Yes,v1.0
7590-VHVEG0166,Female,0,Yes,No,32,Yes,No,No,Month-to-month,Bank transfer,38.18,1179.55,No,v1.0
7590-VHVEG0167,Female,0,Yes,No,70,Yes,DSL,No,Month-to-month,Mailed check,105.13,7398.28,No,v1.0
7590-VHVEG0168,Female,0,No,No,32,Yes,Fiber optic,No,Two year,Mailed check,96.11,3088.23,No,v1.0
7590-VHVEG0169,Female,0,Yes,Yes,68,No,Fiber optic,No,Month-to-month,Mailed check,95.55,6667.59,Yes,v1.0
7590-VHVEG0170,Male,0,No,No,55,No,No,No internet service,Month-to-month,Mailed check,102.79,5842.01,Yes,v1.0
7590-VHVEG0171,Male,0,No,No,56,Yes,Fiber optic,Yes,One year,Credit card,94.58,5264.95,No,v1.0
7590-VHVEG0172,Male,1,Yes,No,17,Yes,Fiber optic,No,Month-to-month,Bank transfer,81.37,1355.94,Yes,v1.0
7590-VHVEG0173,Male,0,Yes,No,38,Yes,Fiber optic,No internet service,Month-to-month,Bank transfer,32.86,1218.7,No,v1.0
7590-VHVEG0174,Female,0,No,No,24,Yes,DSL,No internet service,Month-to-month,Credit card,23.19,539.51,Yes,v1.0
7590-VHVEG0175,Female,0,No,No,69,Yes,DSL,No,One year,Mailed check,110.24,7270.29,Yes,v1.0
7590-VHVEG0176,Female,1,No,No,70,Yes,Fiber optic,No internet service,Two year,Mailed check,80.43,5541.52,Yes,v1.0
7590-VHVEG0177,Male,0,Yes,No,11,Yes,Fiber optic,Yes,One year,Bank transfer,374.77,1053.88,Yes,v1.0
7590-VHVEG0178,Male,0,No,Yes,16,Yes,Fiber optic,No internet service,Month-to-month,Credit card,67.19,1125.17,No,v1.0
7590-VHVEG0179,Male,0,Yes,No,59,Yes,Fiber optic,No,Two year,Mailed check,31.5,1869.0,No,v1.0
7590-VHVEG0180,Female,0,Yes,No,70,Yes,Fiber optic,Yes,Month-to-month,Mailed check,32.27,2224.28,Yes,v1.0
7590-VHVEG0181,Female,0,Yes,Yes,3,No,DSL,Yes,Month-to-month,Mailed check,87.19,263.66,Yes,v1.0
7590-VHVEG0182,Male,0,No,No,20,Yes,Fiber optic,No,Month-to-month,Electronic check,62.17,,Yes,v1.0
7590-VHVEG0183,Male,1,Yes,No,59,Yes,Fiber optic,Yes,Month-to-month,Credit card,39.65,2326.34,No,v1.0
7590-VHVEG0184,Female,1,No,No,36,Yes,Fiber optic,No,Month-to-month,Mailed check,68.18,2485.33,Yes,v1.0
7590-VHVEG0185,Female,0,Yes,Yes,19,Yes,No,Yes,One year,Electronic check,26.29,499.0,Yes,v1.0
7590-VHVEG0186,Female,0,No,No,67,Yes,No,Yes,Two year,Credit card,77.03,5110.53,No,v1.0
7590-VHVEG0187,Male,0,No,No,19,Yes,No,No,Month-to-month,Mailed check,46.36,924.37,Yes,v1.0
7590-VHVEG0188,Male,1,Yes,Yes,20,Yes,Fiber optic,No,Month-to-month,Bank transfer,98.16,2037.88,Yes,v1.0
7590-VHVEG0189,Male,0,No,No,71,Yes,Fiber optic,No,Month-to-month,Electronic check,50.42,3623.67,Yes,v1.0
7590-VHVEG0190,Male,0,Yes,Yes,52,Yes,Fiber optic,No,Month-to-month,Electronic check,64.61,3383.11,No,v1.0
7590-VHVEG0191,Female,1,Yes,No,33,Yes,Fiber optic,No internet service,One year,Mailed check,21.14,706.0,No,v1.0
7590-VHVEG0192,Female,1,Yes,No,40,Yes,DSL,No,Month-to-month,Mailed check,27.1,1051.61,No,v1.0
7590-VHVEG0193,Female,0,Yes,Yes,39,Yes,DSL,No,Two year,Electronic check,58.46,2256.2,No,v1.0
7590-VHVEG0194,Male,0,Yes,Yes,1,Yes,No,No,Month-to-month,Bank transfer,67.03,63.95,Yes,v1.0
7590-VHVEG0195,Female,0,Yes,No,11,Yes,No,Yes,Month-to-month,Bank transfer,78.8,864.7,Yes,v1.0
7590-VHVEG0196,Female,0,Yes,No,57,Yes,Fiber optic,Yes,Month-to-month,Credit card,48.58,,Yes,v1.0
7590-VHVEG0197,Female,0,No,Yes,50,Yes,DSL,No,Month-to-month,Mailed check,88.11,,No,v1.0
7590-VHVEG0198,Female,0,Yes,No,23,Yes,Fiber optic,No internet service,Month-to-month,Bank transfer,104.29,2510.02,Yes,v1.0
7590-VHVEG0199,Female,0,Yes,Yes,31,Yes,Fiber optic,Yes,One year,Credit card,96.43,3111.58,No,v1.0
7590-VHVEG0200,Male,0,No,Yes,42,Yes,DSL,Yes,Month-to-month,Bank transfer,23.88,1025.35,No,v1.0
7590-VHVEG0201,Female,0,No,No,7,Yes,Fiber optic,Yes,One year,Mailed check,67.09,471.2,No,v1.0
7590-VHVEG0202,Female,0,Yes,No,16,Yes,Fiber optic,No internet service,Month-to-month,Credit card,30.28,502.46,Yes,v1.0
7590-VHVEG0203,Male,0,Yes,No,60,Yes,Fiber optic,No,Month-to-month,Credit card,43.72,2526.34,No,v1.0
7590-VHVEG0204,Male,0,Yes,Yes,2,Yes,DSL,Yes,Month-to-month,Credit card,116.69,240.17,Yes,v1.0
7590-VHVEG0205,Female,0,No,Yes,1,Yes,DSL,No,Two year,Bank transfer,33.96,32.69,No,v1.0
7590-VHVEG0206,Female,0,Yes,No,48,Yes,Fiber optic,No,Month-to-month,Mailed check,68.89,3404.06,Yes,v1.0
7590-VHVEG0207,Female,0,No,Yes,12,Yes,No,No,One year,Credit card,80.58,945.27,Yes,v1.0
7590-VHVEG0208,Female,0,Yes,No,69,Yes,Fiber optic,Yes,Month-to-month,Electronic check,88.84,6361.23,Yes,v1.0
7590-VHVEG0209,Male,0,Yes,Yes,37,Yes,Fiber optic,No internet service,One year,Mailed check,74.85,2892.25,No,v1.0
7590-VHVEG0210,Female,0,No,No,32,Yes,DSL,No,Month-to-month,Electronic check,327.65,647.09,No,v1.0
7590-VHVEG0211,Male,0,Yes,Yes,9,Yes,DSL,No,One year,Electronic check,51.99,466.19,Yes,v1.0
7590-VHVEG0212,Female,0,Yes,No,19,Yes,No,Yes,One year,Credit card,70.74,1408.62,No,v1.0
7590-VHVEG0213,Female,0,Yes,No,48,Yes,Fiber optic,No,Two year,Credit card,28.61,1371.05,No,v1.0
7590-VHVEG0214,Female,0,No,No,3,Yes,DSL,No,Month-to-month,Bank transfer,54.36,169.01,Yes,v1.0
7590-VHVEG0215,Male,0,Yes,Yes,20,Yes,DSL,No,Month-to-month,Bank transfer,23.25,469.2,Yes,v1.0
7590-VHVEG0216,Female,0,Yes,No,24,Yes,No,Yes,Month-to-month,Bank transfer,27.7,656.53,Yes,v1.0
