PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
71,1,2,"Passenger, Traveler 71",female,15.8,1,0,72.15,,S
72,0,3,"Passenger, Traveler 72",male,27.4,1,0,11.27,,C
73,0,3,"Passenger, Traveler 73",male,16.5,1,1,23.29,,C
74,0,3,"Passenger, Traveler 74",male,16.9,0,0,17.18,C76,Q
75,0,3,"Passenger, Traveler 75",male,0.4,1,1,4.83,,S
76,1,2,"Passenger, Traveler 76",male,,0,0,86.48,,S
77,0,3,"Passenger, Traveler 77",male,27.2,0,0,7.74,,S
78,1,3,"Passenger, Traveler 78",female,0.4,0,2,5.24,,S
79,0,3,"Passenger, Traveler 79",male,,0,0,10.1,,S
80,1,1,"Passenger, Traveler 80",male,,0,1,198.63,,Q
81,0,2,"Passenger, Traveler 81",male,9.2,0,0,18.82,,C
82,0,3,"Passenger, Traveler 82",male,27.4,0,2,17.54,,S
83,1,2,"Passenger, Traveler 83",male,5.7,0,0,34.6,,C
84,0,3,"Passenger, Traveler 84",male,35.6,2,0,22.97,,S
85,1,1,"Passenger, Traveler 85",female,25.0,0,0,71.76,C93,S
86,1,1,"Passenger, Traveler 86",male,16.4,0,0,158.28,,C
87,1,3,"Passenger, Traveler 87",male,0.4,0,2,25.32,,Q
88,0,3,"Passenger, Traveler 88",male,16.7,0,1,5.88,C53,S
89,0,2,"Passenger, Traveler 89",female,,0,0,14.03,C82,C
90,0,3,"Passenger, Traveler 90",male,52.2,0,0,39.1,,C
91,1,1,"Passenger, Traveler 91",female,26.5,0,0,60.74,,S
92,0,3,"Passenger, Traveler 92",male,28.2,5,0,7.32,,S
93,0,3,"Passenger, Traveler 93",male,19.9,0,0,12.3,,C
94,1,3,"Passenger, Traveler 94",female,47.5,0,0,9.18,,C
95,0,1,"Passenger, Traveler 95",male,26.2,0,0,180.1,,S
96,0,2,"Passenger, Traveler 96",male,42.7,0,0,26.34,C77,S
97,0,3,"Passenger, Traveler 97",male,33.3,0,0,7.28,,S
98,1,1,"Passenger, Traveler 98",female,31.5,0,0,130.98,,S
99,0,3,"Passenger, Traveler 99",male,14.9,0,2,19.08,,S
100,0,3,"Passenger, Traveler 100",male,55.5,0,0,24.71,,S
101,0,2,"Passenger, Traveler 101",male,51.0,0,0,32.13,,C
102,0,3,"Passenger, Traveler 102",male,62.7,0,0,21.31,C71,S
103,0,2,"Passenger, Traveler 103",male,13.8,1,0,16.18,C34,C
104,0,3,"Passenger, Traveler 104",male,33.5,0,0,9.57,C61,Q
105,0,3,"Passenger, Traveler 105",male,18.2,0,0,27.17,,C
106,0,3,"Passenger, Traveler 106",male,36.1,0,0,10.06,C59,Q
107,1,1,"Passenger, Traveler 107",male,33.9,4,0,194.53,,Q
108,0,3,"Passenger, Traveler 108",male,,1,2,5.74,,S
109,1,3,"Passenger, Traveler 109",female,26.4,0,0,10.41,,C
110,1,1,"Passenger, Traveler 110",female,60.0,2,3,64.11,,S
111,0,2,"Passenger, Traveler 111",female,27.7,0,0,28.24,,S
112,0,2,"Passenger, Traveler 112",male,0.4,5,0,21.23,,S
113,0,3,"Passenger, Traveler 113",female,21.9,0,0,24.96,C10,S
114,0,3,"Passenger, Traveler 114",female,13.8,0,0,17.78,,S
115,0,3,"Passenger, Traveler 115",male,16.4,0,0,26.58,,S
116,0,3,"Passenger, Traveler 116",male,40.0,0,0,4.79,,S
117,0,3,"Passenger, Traveler 117",male,,0,0,30.58,,Q
118,1,1,"Passenger, Traveler 118",female,17.5,0,0,100.21,,S
119,0,1,"Passenger, Traveler 119",male,21.7,0,0,106.32,C48,S
120,0,1,"Passenger, Traveler 120",male,,0,0,79.0,,S
121,0,3,"Passenger, Traveler 121",male,,0,0,16.56,,S
122,0,3,"Passenger, Traveler 122",female,,2,0,17.31,,C
123,0,3,"Passenger, Traveler 123",male,39.5,1,1,61.8,,S
124,1,2,"Passenger, Traveler 124",female,14.7,4,0,10.64,,S
125,1,3,"Passenger, Traveler 125",female,4.9,1,0,8.82,,C
126,0,3,"Passenger, Traveler 126",male,47.5,1,0,12.15,,S
127,0,3,"Passenger, Traveler 127",male,57.5,0,0,8.57,,C
128,0,3,"Passenger, Traveler 128",male,4.2,0,1,6.18,,S
129,0,2,"Passenger, Traveler 129",female,62.2,0,0,142.21,,S
130,1,3,"Passenger, Traveler 130",female,28.2,0,0,6.51,,S
131,0,3,"Passenger, Traveler 131",female,32.1,1,2,11.96,,S
132,0,3,"Passenger, Traveler 132",male,10.6,0,0,27.66,,S
133,0,2,"Passenger, Traveler 133",male,4.0,2,0,18.73,C61,S
134,0,1,"Passenger, Traveler 134",male,0.4,0,0,90.28,,C
135,0,2,"Passenger, Traveler 135",male,44.6,1,0,17.02,C85,C
136,1,3,"Passenger, Traveler 136",female,28.5,0,0,6.81,C49,S
137,0,3,"Passenger, Traveler 137",male,36.4,0,0,6.94,C113,S
138,0,2,"Passenger, Traveler 138",male,46.1,3,1,31.64,C69,Q
139,0,3,"Passenger, Traveler 139",male,28.3,0,0,8.92,,S
140,0,3,"Passenger, Traveler 140",male,54.2,0,0,12.86,,S
141,0,2,"Passenger, Traveler 141",male,17.7,0,0,17.77,,S
142,1,3,"Passenger, Traveler 142",male,23.6,0,2,11.84,,C
143,0,3,"Passenger, Traveler 143",female,16.6,0,0,8.14,,S
144,0,1,"Passenger, Traveler 144",male,41.8,0,1,131.91,,Q
145,0,2,"Passenger, Traveler 145",male,45.8,0,0,40.1,,S
146,0,3,"Passenger, Traveler 146",male,23.1,0,0,8.25,,S
147,1,1,"Passenger, Traveler 147",female,9.5,0,0,49.03,C97,S
148,0,3,"Passenger, Traveler 148",male,47.5,1,2,7.51,C82,S
149,1,3,"Passenger, Traveler 149",female,16.9,1,0,5.48,,S
150,0,1,"Passenger, Traveler 150",male,,0,0,44.49,,Q
151,0,1,"Passenger, Traveler 151",male,14.1,0,2,50.46,,S
152,0,3,"Passenger, Traveler 152",male,33.9,0,0,10.21,,C
153,0,3,"Passenger, Traveler 153",male,,1,0,6.5,C119,S
154,0,3,"Passenger, Traveler 154",female,,1,0,17.42,C93,S
155,0,1,"Passenger, Traveler 155",male,21.6,1,0,89.5,,S
156,0,3,"Passenger, Traveler 156",male,37.5,0,1,12.09,,S
157,1,2,"Passenger, Traveler 157",male,16.3,0,2,20.91,,S
158,1,3,"Passenger, Traveler 158",female,47.5,0,0,4.01,,C
159,0,3,"Passenger, Traveler 159",female,,0,0,24.34,,S
160,0,1,"Passenger, Traveler 160",male,31.0,0,0,52.84,C78,S
161,0,3,"Passenger, Traveler 161",male,12.5,0,0,5.04,,S
162,1,1,"Passenger, Traveler 162",female,29.5,1,0,145.75,,Q
163,1,3,"Passenger, Traveler 163",female,13.0,0,0,13.46,,C
164,0,2,"Passenger, Traveler 164",male,,1,0,17.23,,S
165,0,3,"Passenger, Traveler 165",male,15.8,0,0,9.43,C29,S
166,0,2,"Passenger, Traveler 166",female,,1,0,55.28,,C
167,0,3,"Passenger, Traveler 167",male,36.5,8,1,6.81,C94,C
168,0,3,"Passenger, Traveler 168",male,,2,0,9.08,C11,S
169,0,3,"Passenger, Traveler 169",female,,1,0,7.99,C94,S
170,0,3,"Passenger, Traveler 170",male,35.6,1,0,18.75,,C
171,1,3,"Passenger, Traveler 171",female,35.6,0,1,28.82,,S
172,0,1,"Passenger, Traveler 172",male,,0,0,234.89,C115,S
173,0,1,"Passenger, Traveler 173",female,18.9,0,0,100.68,C97,S
174,0,3,"Passenger, Traveler 174",male,29.7,1,0,47.27,,S
175,0,1,"Passenger, Traveler 175",female,55.0,5,0,174.26,,Q
176,0,2,"Passenger, Traveler 176",male,9.8,0,1,103.16,,S
177,1,1,"Passenger, Traveler 177",male,0.4,0,0,57.88,C18,C
178,1,3,"Passenger, Traveler 178",male,37.5,1,0,4.07,,S
179,0,2,"Passenger, Traveler 179",female,44.8,4,0,22.72,,C
180,0,1,"Passenger, Traveler 180",male,0.4,0,0,50.22,,S
181,0,2,"Passenger, Traveler 181",male,25.1,0,0,28.18,C48,S
182,0,3,"Passenger, Traveler 182",male,14.9,0,0,25.53,,C
183,0,3,"Passenger, Traveler 183",male,34.2,0,0,22.45,,S
184,0,3,"Passenger, Traveler 184",male,29.2,0,0,33.15,,S
185,1,3,"Passenger, Traveler 185",female,,0,0,11.71,,S
186,1,1,"Passenger, Traveler 186",male,10.2,1,0,176.53,,S
187,1,1,"Passenger, Traveler 187",male,35.3,0,0,34.91,,S
188,1,1,"Passenger, Traveler 188",female,38.7,0,0,134.65,,C
189,0,3,"Passenger, Traveler 189",female,30.4,1,0,9.71,,S
190,1,3,"Passenger, Traveler 190",female,0.6,3,0,10.0,,S
191,0,1,"Passenger, Traveler 191",male,35.7,5,2,70.74,,S
192,0,3,"Passenger, Traveler 192",male,19.1,0,0,28.98,C39,S
193,0,3,"Passenger, Traveler 193",male,4.4,3,2,8.45,C63,C
194,0,3,"Passenger, Traveler 194",male,,0,0,23.4,,C
195,0,3,"Passenger, Traveler 195",female,40.8,1,0,27.32,,S
196,0,3,"Passenger, Traveler 196",male,20.8,0,0,10.92,,S
197,0,3,"Passenger, Traveler 197",male,,0,0,9.92,C91,S
198,0,3,"Passenger, Traveler 198",female,41.9,0,0,18.31,,S
199,0,3,"Passenger, Traveler 199",male,29.4,0,1,16.31,,S
200,1,3,"Passenger, Traveler 200",female,38.3,1,1,7.98,C67,S
201,0,3,"Passenger, Traveler 201",male,43.9,0,0,5.08,,S
202,0,3,"Passenger, Traveler 202",male,,0,0,7.08,,S
203,0,2,"Passenger, Traveler 203",male,0.4,0,2,92.41,,S
204,0,3,"Passenger, Traveler 204",male,,0,1,7.49,,S
205,0,2,"Passenger, Traveler 205",male,45.2,8,0,31.59,C53,Q
206,0,3,"Passenger, Traveler 206",male,,1,0,14.15,,S
207,0,3,"Passenger, Traveler 207",male,22.5,4,0,34.9,,S
208,0,3,"Passenger, Traveler 208",male,57.1,0,0,15.58,,S
209,0,3,"Passenger, Traveler 209",male,19.1,0,0,30.13,,C
210,0,3,"Passenger, Traveler 210",male,,0,0,19.33,,S
211,0,2,"Passenger, Traveler 211",male,,0,0,25.85,,S
212,0,3,"Passenger, Traveler 212",male,26.6,0,0,9.35,,S
213,1,3,"Passenger, Traveler 213",male,49.2,1,0,7.93,,C
214,0,2,"Passenger, Traveler 214",male,24.3,0,2,21.8,,C
215,0,3,"Passenger, Traveler 215",male,,0,2,27.58,,S
216,0,1,"Passenger, Traveler 216",male,,0,0,43.12,,C
217,0,3,"Passenger, Traveler 217",male,43.7,0,0,4.09,,S
218,1,1,"Passenger, Traveler 218",female,9.8,1,0,365.77,,Q
219,0,3,"Passenger, Traveler 219",male,0.4,0,0,7.36,,Q
220,0,2,"Passenger, Traveler 220",male,30.1,0,0,41.86,,S
221,1,3,"Passenger, Traveler 221",female,17.4,0,0,20.35,,C
222,1,1,"Passenger, Traveler 222",female,50.9,2,0,55.03,,S
223,1,2,"Passenger, Traveler 223",female,28.5,2,0,44.06,,S
224,0,3,"Passenger, Traveler 224",male,32.9,1,0,28.61,,S
225,1,1,"Passenger, Traveler 225",male,25.2,0,1,45.12,,S
226,0,3,"Passenger, Traveler 226",female,,0,0,11.0,,S
227,1,1,"Passenger, Traveler 227",female,30.5,0,0,132.3,,Q
228,0,2,"Passenger, Traveler 228",male,44.4,8,0,62.47,C52,S
229,0,3,"Passenger, Traveler 229",male,,8,0,19.92,C19,S
230,0,3,"Passenger, Traveler 230",female,24.1,1,0,9.96,,S
231,0,3,"Passenger, Traveler 231",male,41.4,0,1,5.79,C118,S
232,0,3,"Passenger, Traveler 232",male,5.3,3,0,4.99,,Q
233,0,2,"Passenger, Traveler 233",male,46.9,0,1,22.35,,S
234,0,2,"Passenger, Traveler 234",male,18.0,1,0,11.57,,S
235,1,1,"Passenger, Traveler 235",male,,0,0,30.89,C114,Q
236,0,3,"Passenger, Traveler 236",male,34.0,0,0,10.37,,S
237,0,3,"Passenger, Traveler 237",female,0.4,0,0,5.55,,Q
238,1,1,"Passenger, Traveler 238",male,,0,0,72.59,C57,S
239,1,1,"Passenger, Traveler 239",male,48.8,0,2,43.67,C94,C
240,1,1,"Passenger, Traveler 240",female,25.3,1,0,116.43,,S
241,0,3,"Passenger, Traveler 241",male,26.6,0,0,15.7,,Q
242,0,3,"Passenger, Traveler 242",male,18.6,0,1,13.01,,S
243,0,2,"Passenger, Traveler 243",male,,0,0,10.01,,S
244,0,3,"Passenger, Traveler 244",male,23.0,0,0,5.63,C95,C
245,0,2,"Passenger, Traveler 245",male,55.7,8,0,39.14,,S
246,1,3,"Passenger, Traveler 246",female,46.5,0,0,13.7,C26,C
247,0,3,"Passenger, Traveler 247",female,,0,0,22.78,C14,C
248,1,2,"Passenger, Traveler 248",female,30.9,2,0,11.87,,S
249,0,3,"Passenger, Traveler 249",male,22.6,1,0,17.45,,S
250,0,3,"Passenger, Traveler 250",male,,0,0,19.19,,Q
251,0,1,"Passenger, Traveler 251",male,52.2,1,0,31.42,,C
252,0,3,"Passenger, Traveler 252",male,,0,0,8.84,,S
253,0,3,"Passenger, Traveler 253",male,,1,0,14.72,,S
254,0,3,"Passenger, Traveler 254",female,,0,2,4.98,,S
255,0,2,"Passenger, Traveler 255",male,33.4,8,0,33.44,,S
256,1,2,"Passenger, Traveler 256",male,41.0,0,1,10.0,,S
257,0,3,"Passenger, Traveler 257",male,16.7,0,0,6.11,,C
258,0,3,"Passenger, Traveler 258",male,15.7,0,0,14.91,,C
259,1,2,"Passenger, Traveler 259",female,8.8,0,0,29.37,,C
260,0,3,"Passenger, Traveler 260",female,54.4,2,1,39.7,,S
261,0,2,"Passenger, Traveler 261",male,,0,0,26.48,,S
262,0,2,"Passenger, Traveler 262",male,,0,1,48.87,,C
263,0,3,"Passenger, Traveler 263",female,25.3,0,4,21.1,C79,C
264,1,1,"Passenger, Traveler 264",female,14.9,0,0,49.6,,S
265,1,1,"Passenger, Traveler 265",female,26.8,4,0,58.66,,S
266,0,3,"Passenger, Traveler 266",male,,0,0,22.93,,S
267,0,1,"Passenger, Traveler 267",male,47.8,0,0,82.08,,S
268,0,3,"Passenger, Traveler 268",male,,1,0,9.33,,S
269,0,3,"Passenger, Traveler 269",male,21.2,1,1,12.17,,S
270,1,3,"Passenger, Traveler 270",female,37.7,0,0,16.51,,S
271,1,1,"Passenger, Traveler 271",male,30.4,0,0,86.75,,Q
272,0,2,"Passenger, Traveler 272",male,30.6,1,0,21.19,,S
273,0,3,"Passenger, Traveler 273",male,,1,2,13.38,,S
274,0,3,"Passenger, Traveler 274",female,41.0,1,0,8.42,,C
275,0,3,"Passenger, Traveler 275",male,50.2,8,2,18.92,C83,S
276,0,2,"Passenger, Traveler 276",male,,1,3,77.81,C73,C
277,0,3,"Passenger, Traveler 277",male,26.9,1,0,6.67,,C
278,0,2,"Passenger, Traveler 278",male,0.4,3,0,40.86,C116,Q
279,0,3,"Passenger, Traveler 279",male,33.1,0,0,13.92,,S
280,0,3,"Passenger, Traveler 280",male,31.2,0,0,9.99,,S
281,1,1,"Passenger, Traveler 281",female,14.9,0,0,64.44,,S
282,0,3,"Passenger, Traveler 282",male,,0,0,7.95,C75,C
283,0,1,"Passenger, Traveler 283",male,15.3,1,0,124.01,,S
284,0,3,"Passenger, Traveler 284",female,33.7,1,0,5.14,,S
285,0,3,"Passenger, Traveler 285",female,17.8,1,0,11.92,C80,S
286,1,1,"Passenger, Traveler 286",female,32.1,8,0,54.0,,S
287,0,3,"Passenger, Traveler 287",male,64.2,0,0,12.57,C119,S
288,0,3,"Passenger, Traveler 288",male,27.0,1,1,21.5,,S
289,0,3,"Passenger, Traveler 289",male,,0,0,5.36,,S
290,1,1,"Passenger, Traveler 290",female,8.6,0,0,67.63,C13,S
291,0,3,"Passenger, Traveler 291",female,34.5,0,1,13.4,,C
292,0,1,"Passenger, Traveler 292",male,58.7,1,2,96.74,C110,C
293,0,3,"Passenger, Traveler 293",male,16.6,0,0,15.9,C92,S
294,0,3,"Passenger, Traveler 294",male,0.4,1,0,17.06,,S
295,1,1,"Passenger, Traveler 295",male,,0,0,68.05,,S
296,0,1,"Passenger, Traveler 296",male,66.2,0,0,175.53,,S
297,0,3,"Passenger, Traveler 297",male,40.7,0,1,15.88,,S
298,0,3,"Passenger, Traveler 298",male,35.9,0,0,16.9,,S
299,0,3,"Passenger, Traveler 299",male,,4,1,54.33,C37,Q
300,1,1,"Passenger, Traveler 300",male,39.6,0,0,69.03,,Q
301,0,3,"Passenger, Traveler 301",male,38.9,5,0,15.61,C93,S
302,0,1,"Passenger, Traveler 302",male,33.8,5,0,99.65,C103,S
303,1,3,"Passenger, Traveler 303",female,15.9,8,0,24.24,C115,S
304,0,3,"Passenger, Traveler 304",male,33.7,0,0,61.56,C47,S
305,0,3,"Passenger, Traveler 305",male,28.3,4,0,19.1,,S
306,0,1,"Passenger, Traveler 306",male,,0,0,34.1,C75,C
307,0,3,"Passenger, Traveler 307",male,,0,1,4.82,,S
308,0,3,"Passenger, Traveler 308",male,,0,0,16.97,,C
309,0,3,"Passenger, Traveler 309",male,30.7,3,0,16.33,,S
310,0,2,"Passenger, Traveler 310",male,36.3,0,0,19.39,,Q
311,0,3,"Passenger, Traveler 311",female,38.4,0,1,5.33,,S
312,1,3,"Passenger, Traveler 312",female,,0,3,14.61,,S
313,1,1,"Passenger, Traveler 313",male,36.2,0,0,30.94,,S
314,1,2,"Passenger, Traveler 314",female,39.6,0,1,41.59,,C
315,1,1,"Passenger, Traveler 315",male,43.8,1,0,34.59,,S
316,0,2,"Passenger, Traveler 316",male,,0,1,22.85,C76,S
317,0,2,"Passenger, Traveler 317",male,38.5,1,0,30.69,,S
318,0,3,"Passenger, Traveler 318",male,23.6,1,0,4.09,,S
319,0,3,"Passenger, Traveler 319",male,67.1,4,0,14.03,C69,S
320,0,3,"Passenger, Traveler 320",male,28.8,0,0,5.2,C56,S
321,1,1,"Passenger, Traveler 321",female,46.0,0,0,88.96,C115,S
322,0,3,"Passenger, Traveler 322",male,22.6,0,5,29.98,,Q
323,0,3,"Passenger, Traveler 323",male,35.1,0,0,38.82,,S
324,0,2,"Passenger, Traveler 324",male,,1,0,10.76,,C
325,0,1,"Passenger, Traveler 325",male,37.4,0,1,125.81,,S
326,0,3,"Passenger, Traveler 326",male,17.4,1,1,8.36,,S
327,0,3,"Passenger, Traveler 327",female,35.3,1,0,27.07,,S
328,0,3,"Passenger, Traveler 328",male,22.7,0,0,19.49,C112,S
329,0,3,"Passenger, Traveler 329",female,,0,0,4.77,,S
330,1,1,"Passenger, Traveler 330",male,17.0,0,1,44.31,,S
331,1,3,"Passenger, Traveler 331",female,,0,1,8.11,,S
332,1,2,"Passenger, Traveler 332",female,29.3,0,0,20.86,,C
333,1,1,"Passenger, Traveler 333",female,56.6,8,0,30.83,,S
334,1,1,"Passenger, Traveler 334",female,45.9,0,1,64.83,,C
335,1,2,"Passenger, Traveler 335",male,49.6,0,2,17.03,,Q
336,0,3,"Passenger, Traveler 336",male,18.5,0,1,41.15,C34,S
337,1,3,"Passenger, Traveler 337",male,,0,0,31.77,C75,C
338,0,3,"Passenger, Traveler 338",male,,1,0,9.58,,S
339,0,1,"Passenger, Traveler 339",female,46.3,1,0,87.31,,C
340,0,3,"Passenger, Traveler 340",male,35.2,1,0,21.69,,S
341,0,3,"Passenger, Traveler 341",male,18.8,1,1,411.22,,S
342,0,3,"Passenger, Traveler 342",male,19.4,0,0,4.71,,S
343,0,3,"Passenger, Traveler 343",female,,0,1,7.6,,C
344,0,3,"Passenger, Traveler 344",female,,0,0,7.86,,Q
345,0,2,"Passenger, Traveler 345",male,30.5,1,1,67.15,,S
346,0,3,"Passenger, Traveler 346",male,,1,0,5.85,,S
347,0,3,"Passenger, Traveler 347",male,42.7,1,0,10.86,,C
348,0,3,"Passenger, Traveler 348",male,14.4,0,0,14.88,,S
349,0,3,"Passenger, Traveler 349",male,,0,0,10.88,,S
350,1,2,"Passenger, Traveler 350",female,31.3,3,2,27.6,,S
351,0,3,"Passenger, Traveler 351",male,11.6,0,0,4.69,,C
352,0,3,"Passenger, Traveler 352",male,26.7,1,0,24.87,C112,C
353,0,3,"Passenger, Traveler 353",male,,0,1,31.98,,S
354,1,1,"Passenger, Traveler 354",female,17.6,0,1,99.56,,C
355,1,3,"Passenger, Traveler 355",female,31.5,1,0,25.32,,S
356,0,1,"Passenger, Traveler 356",male,0.4,0,2,45.2,,Q
357,1,3,"Passenger, Traveler 357",female,27.7,1,0,19.97,,S
358,0,3,"Passenger, Traveler 358",male,,1,0,5.27,,S
359,0,2,"Passenger, Traveler 359",male,24.6,0,0,54.3,C88,C
360,0,1,"Passenger, Traveler 360",male,35.9,1,0,375.08,,S
361,1,1,"Passenger, Traveler 361",female,13.4,0,0,32.05,,C
362,0,3,"Passenger, Traveler 362",male,,0,0,7.59,,S
363,1,3,"Passenger, Traveler 363",female,18.4,1,0,14.14,C76,Q
364,0,3,"Passenger, Traveler 364",male,10.3,0,1,8.58,,S
365,1,1,"Passenger, Traveler 365",female,43.9,0,0,38.8,,S
366,0,3,"Passenger, Traveler 366",female,15.8,1,6,14.05,,C
367,0,3,"Passenger, Traveler 367",male,23.6,0,1,6.42,,S
368,1,2,"Passenger, Traveler 368",female,21.4,1,0,60.63,,S
369,0,3,"Passenger, Traveler 369",male,32.8,1,0,22.8,,S
370,1,2,"Passenger, Traveler 370",female,30.2,0,0,27.69,,S
371,1,3,"Passenger, Traveler 371",female,27.3,0,1,11.67,,S
372,0,2,"Passenger, Traveler 372",male,,0,0,19.51,C78,C
373,1,2,"Passenger, Traveler 373",female,25.9,0,0,15.05,C49,S
374,0,3,"Passenger, Traveler 374",male,34.0,1,2,7.48,,C
375,0,3,"Passenger, Traveler 375",female,31.4,1,0,10.45,,S
376,0,2,"Passenger, Traveler 376",female,46.0,0,0,16.43,,S
377,0,3,"Passenger, Traveler 377",male,40.8,0,0,7.34,,S
378,0,3,"Passenger, Traveler 378",male,45.7,8,1,4.64,,S
379,1,1,"Passenger, Traveler 379",male,49.3,0,2,103.0,,S
380,0,3,"Passenger, Traveler 380",female,32.4,1,0,7.87,,S
381,1,3,"Passenger, Traveler 381",female,42.1,1,0,36.66,,C
382,0,3,"Passenger, Traveler 382",male,34.6,0,1,12.91,,S
383,0,2,"Passenger, Traveler 383",female,48.9,0,1,14.43,,Q
384,0,3,"Passenger, Traveler 384",male,4.3,1,1,4.46,C109,Q
385,0,3,"Passenger, Traveler 385",male,25.1,0,0,5.13,,S
386,0,3,"Passenger, Traveler 386",male,35.6,0,2,20.85,C59,C
