MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,OceanProximity,MedianHouseValue
1.051,19.1,2.0,0.42,1539.0,1.18,32.869,-120.34,INLAND,27.1
1.519,27.6,2.0,0.34,3810.0,3.7,38.241,-114.374,INLAND,89.4
2.439,28.0,3.28,0.56,757.0,3.8,38.611,-117.927,<1H OCEAN,161.9
2.711,36.1,3.4,0.73,637.0,2.68,35.303,-120.958,<1H OCEAN,172.4
2.711,12.4,3.35,0.69,427.0,3.39,41.928,-121.8,<1H OCEAN,175.8
4.423,34.6,5.36,1.08,570.0,3.21,35.266,-122.205,<1H OCEAN,263.8
3.707,40.7,4.36,0.87,1036.0,4.79,34.558,-120.284,NEAR BAY,216.7
4.041,35.5,4.43,0.81,2382.0,3.4,37.099,-122.367,<1H OCEAN,245.0
2.204,25.6,2.67,0.43,601.0,3.08,35.57,-122.948,<1H OCEAN,157.0
1.687,51.6,2.4,0.45,406.0,3.88,41.278,-120.659,INLAND,112.5
2.852,21.6,3.36,0.59,581.0,4.29,36.681,-118.23,INLAND,156.5
4.721,6.4,5.2,1.04,328.0,4.66,36.396,-122.836,NEAR BAY,252.8
7.457,42.9,8.35,1.63,3336.0,2.52,38.446,-123.857,<1H OCEAN,390.0
2.247,11.8,2.22,0.45,2673.0,3.34,33.271,-123.954,<1H OCEAN,131.6
7.447,37.4,8.36,1.66,643.0,2.5,39.689,-121.626,<1H OCEAN,362.9
1.566,10.1,3.33,0.84,540.0,4.86,39.8,-122.399,<1H OCEAN,130.4
1.118,1.9,2.0,0.26,3030.0,3.04,37.003,-118.907,INLAND,14.9
2.661,9.1,3.17,0.62,202.0,3.77,41.579,-119.743,NEAR BAY,156.6
1.692,20.2,2.0,0.29,1301.0,2.87,38.004,-121.052,INLAND,68.6
2.027,6.4,3.14,0.58,3172.0,3.4,39.105,-115.965,<1H OCEAN,133.4
5.394,11.1,6.69,1.26,1052.0,1.56,41.281,-119.251,<1H OCEAN,270.3
5.103,40.0,6.34,1.33,204.0,3.83,38.83,-123.385,NEAR BAY,288.7
3.713,40.3,4.54,0.76,496.0,4.04,36.602,-121.342,INLAND,190.0
3.542,42.7,4.39,0.96,3268.0,2.53,32.735,-114.567,NEAR BAY,245.1
2.006,43.9,2.57,0.57,221.0,1.55,39.419,-114.53,INLAND,136.2
2.876,22.4,3.14,0.83,803.0,4.19,41.666,-121.753,ISLAND,178.2
2.587,45.2,2.65,0.71,2071.0,4.08,36.967,-122.628,NEAR OCEAN,217.9
1.302,27.8,2.0,0.32,2385.0,3.63,35.728,-119.343,<1H OCEAN,108.6
8.197,25.0,9.57,2.04,979.0,2.85,37.433,-119.485,INLAND,341.4
2.631,37.6,3.25,0.62,518.0,2.78,39.42,-120.199,INLAND,115.6
1.603,11.9,2.0,0.43,1299.0,4.07,32.507,-119.006,<1H OCEAN,133.0
1.212,41.3,2.0,0.57,567.0,2.74,40.929,-121.978,<1H OCEAN,152.0
4.189,22.9,4.39,0.8,554.0,3.13,40.92,-123.151,<1H OCEAN,205.4
7.805,7.5,9.33,1.87,2178.0,3.0,37.642,-118.595,<1H OCEAN,368.4
9.225,7.1,10.26,1.86,401.0,3.26,33.663,-114.974,<1H OCEAN,455.8
2.99,9.4,4.56,1.0,207.0,2.91,38.882,-122.923,INLAND,97.5
2.632,46.4,4.13,1.04,693.0,3.01,33.81,-117.252,NEAR BAY,222.0
3.363,51.5,4.48,0.95,1010.0,4.43,37.322,-119.921,INLAND,158.6
3.318,19.2,3.8,0.9,1665.0,3.42,33.389,-121.36,<1H OCEAN,186.0
0.799,15.9,2.0,0.51,2023.0,3.31,38.096,-115.769,<1H OCEAN,107.0
2.434,12.2,3.07,0.54,1507.0,3.66,35.522,-119.735,<1H OCEAN,167.3
3.85,43.0,4.92,1.02,1382.0,2.1,40.394,-118.467,INLAND,186.3
4.313,11.7,5.32,1.11,1515.0,3.81,40.099,-119.869,NEAR OCEAN,256.6
4.499,48.1,4.74,0.83,580.0,3.24,41.986,-123.488,<1H OCEAN,243.6
3.29,35.0,3.85,0.92,778.0,2.51,34.946,-118.351,INLAND,158.1
1.555,46.8,2.13,0.38,1350.0,2.92,33.087,-120.112,INLAND,95.3
2.943,29.3,2.35,0.45,281.0,3.43,36.709,-123.432,<1H OCEAN,175.3
6.34,36.2,7.06,1.38,620.0,3.07,33.292,-118.342,<1H OCEAN,327.5
4.016,32.6,5.08,1.02,826.0,3.87,34.196,-124.201,INLAND,191.8
2.7,43.4,3.08,0.91,1115.0,2.4,38.174,-122.215,INLAND,164.1
9.699,43.6,11.48,2.24,1000.0,2.1,38.125,-116.489,<1H OCEAN,476.8
3.394,31.1,4.63,0.77,1720.0,2.39,32.912,-123.921,<1H OCEAN,207.1
2.915,33.3,3.47,0.71,970.0,2.67,36.708,-117.833,INLAND,126.7
4.724,48.0,5.43,1.0,3014.0,3.11,37.537,-114.803,<1H OCEAN,262.5
1.451,48.4,2.0,0.36,774.0,2.73,35.046,-122.588,NEAR OCEAN,191.1
2.629,34.9,3.02,0.67,1094.0,2.05,40.784,-120.129,<1H OCEAN,188.5
2.956,1.4,3.13,0.52,204.0,1.92,34.03,-118.545,<1H OCEAN,164.9
1.0,6.3,2.0,0.36,646.0,1.98,34.912,-119.796,<1H OCEAN,113.2
3.583,44.8,3.73,0.78,2617.0,2.77,33.991,-118.096,NEAR BAY,230.3
4.301,5.3,4.99,0.92,687.0,2.35,33.607,-120.259,NEAR OCEAN,256.6
2.287,11.9,2.49,0.49,550.0,2.69,40.85,-122.815,NEAR OCEAN,177.9
4.86,12.8,5.95,1.22,1141.0,4.06,35.14,-123.41,INLAND,190.2
5.81,31.6,7.73,1.53,298.0,2.06,39.364,-116.856,NEAR OCEAN,357.3
6.221,30.4,7.6,1.53,1110.0,3.24,36.566,-121.914,NEAR OCEAN,350.7
1.59,15.8,2.0,0.44,634.0,2.05,38.541,-115.825,<1H OCEAN,128.3
3.502,11.6,4.32,0.8,780.0,1.93,41.318,-116.87,ISLAND,182.4
4.569,40.0,5.05,0.86,2081.0,3.3,40.524,-123.805,NEAR OCEAN,301.4
3.495,48.7,4.55,0.81,1502.0,3.54,33.155,-122.288,NEAR BAY,227.7
5.579,3.7,6.9,1.26,909.0,3.63,40.529,-121.38,NEAR OCEAN,363.4
3.667,7.8,4.38,1.0,1234.0,3.89,36.792,-118.355,NEAR OCEAN,216.8
1.556,33.8,2.04,0.24,1947.0,2.86,35.826,-116.202,NEAR BAY,155.4
5.636,42.0,6.93,1.45,1843.0,3.22,38.888,-123.697,<1H OCEAN,293.7
3.431,41.4,4.28,0.79,446.0,2.69,41.527,-121.804,NEAR OCEAN,287.3
7.587,37.7,9.6,2.02,630.0,4.03,33.394,-120.538,<1H OCEAN,369.7
1.562,46.3,2.0,0.36,714.0,2.27,39.797,-122.466,INLAND,120.2
3.468,12.1,4.82,0.97,449.0,3.4,34.433,-118.847,NEAR OCEAN,242.8
7.271,6.5,7.92,1.64,215.0,2.15,36.111,-119.52,INLAND,269.4
3.715,32.4,4.79,1.08,429.0,3.09,40.801,-121.135,NEAR OCEAN,268.5
5.024,42.9,6.11,1.17,2182.0,1.71,37.685,-119.131,<1H OCEAN,295.6
5.929,30.7,6.63,1.27,1147.0,3.18,33.141,-120.742,INLAND,273.5
3.346,50.1,4.53,0.96,702.0,4.58,37.326,-120.868,<1H OCEAN,219.2
1.896,41.6,2.0,0.24,1325.0,2.55,40.002,-121.646,<1H OCEAN,211.0
5.391,36.7,7.28,1.28,1816.0,2.81,37.524,-118.896,INLAND,284.0
2.982,4.1,4.71,0.98,725.0,3.69,34.085,-119.859,INLAND,129.3
0.761,6.5,2.0,0.47,953.0,3.04,36.728,-122.337,<1H OCEAN,59.3
6.523,41.0,7.31,1.5,280.0,3.98,41.281,-124.17,<1H OCEAN,323.7
8.121,11.1,9.46,1.88,1291.0,3.31,38.753,-122.791,<1H OCEAN,378.3
2.219,2.5,3.15,0.58,729.0,3.7,39.434,-123.872,INLAND,88.8
3.258,47.4,3.75,0.91,882.0,1.42,39.966,-119.984,INLAND,151.8
8.507,46.4,8.74,1.92,859.0,3.07,33.362,-122.049,<1H OCEAN,416.6
7.354,12.1,9.02,1.81,1401.0,2.11,38.025,-120.095,INLAND,264.1
4.577,40.8,5.94,1.12,1220.0,2.68,36.071,-121.006,<1H OCEAN,222.5
6.963,3.4,8.61,1.62,858.0,3.35,33.822,-118.92,INLAND,281.6
2.863,15.5,3.77,0.8,221.0,2.82,34.426,-117.061,<1H OCEAN,208.8
1.279,32.8,2.34,0.34,1364.0,2.37,39.921,-119.507,ISLAND,96.4
6.186,39.9,7.32,1.34,2740.0,4.0,34.034,-123.68,<1H OCEAN,325.1
3.195,1.5,4.69,0.89,1961.0,3.81,35.468,-124.125,INLAND,128.7
1.063,17.6,2.0,0.45,4996.0,1.9,35.206,-122.168,INLAND,64.1
2.271,11.9,3.29,0.8,380.0,3.61,32.962,-120.05,<1H OCEAN,140.2
2.792,51.9,3.28,0.68,502.0,3.14,36.891,-123.851,<1H OCEAN,181.2
2.999,35.2,4.62,0.97,1130.0,3.19,39.776,-121.023,<1H OCEAN,211.1
2.04,21.7,2.77,0.65,523.0,4.24,32.71,-115.43,NEAR OCEAN,149.9
1.653,4.9,2.0,0.49,242.0,3.12,33.569,-123.4,<1H OCEAN,127.7
0.966,31.5,2.0,0.34,818.0,3.57,39.342,-114.815,INLAND,47.8
0.939,33.7,2.0,0.49,607.0,3.17,38.139,-115.733,INLAND,69.4
3.153,42.6,3.37,0.78,567.0,3.18,39.295,-115.982,<1H OCEAN,233.4
3.783,15.7,4.76,0.98,3874.0,2.26,34.686,-115.663,<1H OCEAN,200.2
1.626,51.1,2.28,0.47,527.0,4.96,40.136,-123.499,NEAR BAY,148.5
6.874,23.4,8.77,1.81,366.0,0.54,37.059,-122.788,<1H OCEAN,335.3
2.502,16.1,3.27,0.7,361.0,2.42,38.298,-122.956,<1H OCEAN,208.5
3.006,18.8,3.65,0.54,2170.0,2.61,33.375,-123.188,INLAND,132.7
2.894,27.5,4.14,0.87,1706.0,3.73,34.448,-121.023,<1H OCEAN,184.3
0.833,48.8,2.0,0.52,366.0,1.87,39.847,-115.998,INLAND,70.6
5.612,38.5,6.21,1.34,498.0,2.86,34.627,-121.78,<1H OCEAN,332.3
4.52,30.4,6.3,1.3,1851.0,3.63,33.379,-121.858,ISLAND,242.4
7.001,9.3,9.02,1.82,585.0,2.03,38.173,-117.541,INLAND,303.4
6.745,8.6,7.67,1.49,4991.0,2.89,37.705,-123.331,ISLAND,311.5
4.197,26.6,4.1,0.81,1133.0,2.87,38.275,-120.697,<1H OCEAN,222.6
4.704,38.2,6.25,1.32,456.0,2.52,38.374,-121.346,<1H OCEAN,276.1
1.551,39.3,2.0,0.44,2549.0,3.03,37.252,-115.827,NEAR BAY,167.7
2.513,12.5,2.79,0.65,662.0,2.66,37.191,-119.155,<1H OCEAN,152.9
2.882,6.1,3.62,0.67,609.0,3.77,41.28,-117.835,<1H OCEAN,162.4
2.3,20.6,3.35,0.78,676.0,3.42,37.572,-123.01,<1H OCEAN,171.2
6.655,47.8,6.97,1.33,1954.0,2.85,38.364,-115.011,NEAR BAY,354.3
3.564,28.8,4.34,0.89,428.0,3.05,35.036,-121.075,<1H OCEAN,229.2
1.923,17.3,2.34,0.41,777.0,2.69,40.775,-117.232,NEAR OCEAN,148.3
6.413,17.5,8.44,1.68,238.0,4.07,32.731,-114.754,INLAND,249.7
3.634,7.7,4.78,1.16,2303.0,3.36,37.794,-119.214,<1H OCEAN,200.3
5.479,25.1,6.98,1.45,700.0,2.89,36.147,-119.225,<1H OCEAN,298.3
1.53,41.4,2.0,0.42,542.0,3.35,38.237,-123.128,NEAR BAY,141.7
3.802,50.4,4.9,1.12,1241.0,4.51,35.922,-120.397,INLAND,194.0
1.865,26.6,2.0,0.14,1665.0,2.45,39.318,-115.775,INLAND,108.0
3.682,9.5,4.36,0.86,2211.0,3.71,32.693,-122.949,<1H OCEAN,180.0
4.528,35.8,5.72,1.09,713.0,3.33,36.356,-115.125,<1H OCEAN,271.9
1.428,39.6,2.0,0.31,2207.0,2.83,40.397,-117.627,INLAND,109.8
3.127,4.7,3.91,0.63,950.0,2.42,34.877,-120.09,INLAND,121.9
1.522,44.4,2.48,0.47,328.0,3.69,33.001,-118.835,INLAND,79.2
5.645,43.3,6.59,1.39,2447.0,3.23,37.217,-122.795,<1H OCEAN,328.2
3.32,25.1,3.47,0.68,1152.0,4.16,41.777,-122.125,NEAR BAY,237.3
1.919,29.6,2.0,0.48,1307.0,3.93,33.11,-121.436,<1H OCEAN,153.4
2.25,37.4,2.14,0.43,3527.0,3.24,33.166,-120.452,<1H OCEAN,152.3
2.465,35.5,3.76,0.87,1183.0,2.42,38.154,-115.145,NEAR BAY,176.9
6.942,1.8,8.66,1.68,207.0,4.64,34.876,-120.624,INLAND,262.5
3.061,7.2,4.21,0.65,2654.0,2.5,36.397,-119.062,<1H OCEAN,192.6
5.108,9.3,6.57,1.16,602.0,3.66,40.39,-122.68,NEAR OCEAN,300.7
3.15,39.5,3.68,0.69,1036.0,1.58,34.389,-116.94,INLAND,139.1
1.553,23.4,2.68,0.45,475.0,4.26,39.333,-118.697,<1H OCEAN,134.9
2.236,28.8,2.34,0.41,623.0,1.37,37.293,-119.901,INLAND,99.4
3.905,40.4,5.69,1.25,1593.0,2.75,41.097,-114.828,<1H OCEAN,212.2
0.841,18.4,2.0,0.25,874.0,2.15,41.743,-115.393,<1H OCEAN,113.5
4.295,39.2,6.05,1.36,1384.0,4.12,37.107,-117.705,<1H OCEAN,259.1
2.05,23.6,2.0,0.32,2282.0,2.41,38.054,-115.082,INLAND,91.5
3.545,20.2,4.04,0.68,700.0,3.42,39.586,-118.652,<1H OCEAN,233.4
2.296,18.0,2.0,0.39,1208.0,3.21,35.527,-116.031,NEAR OCEAN,181.3
4.773,50.2,6.25,1.4,2004.0,1.84,34.654,-120.205,INLAND,222.4
3.287,40.4,4.07,0.74,1707.0,3.82,41.665,-123.433,<1H OCEAN,221.3
4.672,2.0,6.61,1.26,1131.0,2.99,36.61,-114.359,INLAND,206.0
0.969,49.8,2.0,0.35,780.0,4.21,32.515,-122.644,NEAR OCEAN,176.5
2.855,40.5,4.09,0.93,828.0,3.49,40.458,-121.785,INLAND,135.3
2.025,8.6,2.47,0.45,881.0,2.39,38.197,-122.669,<1H OCEAN,133.1
4.225,4.9,5.02,1.05,715.0,2.84,34.101,-120.925,<1H OCEAN,210.0
5.607,16.7,6.58,1.33,1641.0,2.82,32.786,-121.407,NEAR OCEAN,321.0
5.493,32.8,6.17,1.22,361.0,3.62,35.269,-118.289,<1H OCEAN,290.8
7.152,32.4,8.77,1.7,4310.0,3.6,41.315,-114.335,<1H OCEAN,370.4
5.685,15.1,6.93,1.58,2011.0,2.46,41.368,-123.775,INLAND,225.6
2.838,23.7,2.62,0.8,625.0,3.76,35.455,-116.516,<1H OCEAN,201.6
1.727,11.8,2.0,0.31,252.0,3.33,40.441,-123.02,ISLAND,128.0
1.022,3.6,2.0,0.29,1691.0,3.54,36.698,-124.102,NEAR OCEAN,116.7
1.678,27.4,2.59,0.52,1791.0,3.41,38.716,-117.914,INLAND,96.8
0.9,18.7,2.0,0.17,4177.0,3.66,35.677,-115.567,NEAR OCEAN,138.6
1.31,28.7,2.0,0.4,551.0,2.25,37.402,-122.537,INLAND,66.2
3.732,49.3,3.59,0.92,304.0,3.15,35.291,-120.884,NEAR OCEAN,307.0
0.968,8.3,2.0,0.34,3160.0,3.81,33.081,-122.612,INLAND,39.1
4.018,1.1,4.0,0.91,559.0,3.89,33.824,-115.235,<1H OCEAN,202.5
2.244,4.9,3.07,0.76,1734.0,3.89,35.261,-121.596,NEAR BAY,162.9
3.373,24.6,4.33,0.78,275.0,2.29,41.774,-119.853,NEAR OCEAN,254.7
3.425,37.1,4.93,1.0,1915.0,4.66,41.674,-115.353,NEAR BAY,231.7
7.169,30.6,8.29,1.69,363.0,4.41,40.363,-118.771,INLAND,300.0
3.5,26.2,4.67,1.01,1627.0,2.31,34.709,-114.972,<1H OCEAN,215.4
1.353,19.1,2.32,0.54,1112.0,2.76,36.695,-115.035,<1H OCEAN,91.6
1.79,16.8,2.0,0.51,3934.0,3.55,36.678,-119.684,<1H OCEAN,96.6
3.42,20.2,4.17,0.76,245.0,2.42,36.176,-118.476,<1H OCEAN,191.1
2.758,32.2,3.29,0.68,614.0,3.47,32.926,-121.997,<1H OCEAN,187.0
3.515,9.6,3.69,0.89,286.0,3.17,37.578,-114.395,INLAND,196.2
4.06,40.3,5.0,1.16,2736.0,4.03,33.192,-121.517,INLAND,219.7
1.836,30.3,2.0,0.42,1281.0,3.34,40.118,-116.467,<1H OCEAN,125.9
4.131,14.7,5.15,0.98,1119.0,1.38,39.067,-121.17,INLAND,194.5
4.404,26.6,6.37,1.38,369.0,3.69,35.851,-121.17,<1H OCEAN,220.5
3.548,50.1,4.16,0.88,1006.0,3.98,38.648,-123.261,INLAND,212.7
8.382,2.0,10.01,2.05,810.0,2.95,34.714,-118.701,NEAR BAY,376.8
1.046,11.2,2.0,0.48,655.0,3.12,35.02,-121.852,INLAND,39.3
7.805,23.9,10.0,1.9,1975.0,3.12,35.484,-122.816,<1H OCEAN,401.7
2.603,33.6,2.82,0.65,276.0,2.53,40.072,-122.033,INLAND,119.8
2.011,11.8,2.76,0.57,1448.0,4.98,34.502,-121.789,NEAR OCEAN,214.9
4.219,48.5,3.59,0.83,2278.0,2.37,37.846,-119.259,INLAND,196.2
2.251,33.8,2.2,0.44,3054.0,3.74,34.404,-120.441,NEAR BAY,184.8
5.4,45.7,7.01,1.46,1844.0,3.74,35.208,-123.545,<1H OCEAN,304.9
2.557,17.8,2.81,0.61,598.0,2.63,34.737,-118.94,<1H OCEAN,180.1
5.821,43.3,6.89,1.32,1301.0,2.25,38.628,-116.423,<1H OCEAN,297.3
1.625,20.3,2.0,0.31,383.0,2.91,37.504,-118.558,NEAR OCEAN,134.6
3.867,13.9,4.1,0.9,349.0,3.56,39.352,-114.555,INLAND,147.0
1.915,47.5,2.0,0.31,1421.0,3.25,34.589,-123.308,<1H OCEAN,156.5
3.952,5.7,4.56,0.88,2485.0,4.45,32.587,-116.088,<1H OCEAN,208.6
1.203,49.1,2.0,0.36,284.0,2.53,38.965,-119.243,INLAND,77.7
1.275,24.4,2.0,0.44,334.0,2.55,33.591,-119.084,ISLAND,77.8
2.543,51.6,2.64,0.59,1201.0,3.71,34.84,-119.109,<1H OCEAN,180.2
5.969,28.5,6.45,1.13,495.0,1.67,35.404,-121.047,<1H OCEAN,312.4
1.078,39.6,2.0,0.33,1336.0,2.55,39.595,-121.054,INLAND,70.0
6.587,1.4,7.24,1.37,490.0,2.9,38.446,-117.982,<1H OCEAN,307.1
3.956,26.3,4.36,0.85,349.0,2.99,34.251,-123.852,INLAND,170.1
5.709,38.6,6.92,1.18,1146.0,2.59,38.18,-118.412,INLAND,260.4
3.288,40.9,3.51,0.82,2578.0,1.54,39.227,-117.054,INLAND,143.3
3.569,9.1,4.93,0.99,1587.0,4.13,36.195,-120.737,NEAR BAY,195.1
2.803,22.4,2.84,0.55,2249.0,4.09,34.837,-122.126,<1H OCEAN,171.9
2.616,22.4,2.84,0.64,572.0,1.67,38.95,-122.166,NEAR OCEAN,187.6
4.847,6.3,6.24,1.3,2806.0,3.54,38.303,-123.482,NEAR BAY,245.3
1.629,23.6,2.3,0.51,768.0,2.89,33.24,-123.403,<1H OCEAN,94.3
3.246,42.2,4.15,0.83,2496.0,3.45,38.833,-122.633,<1H OCEAN,200.0
1.062,16.3,2.0,0.41,965.0,3.22,37.141,-124.108,NEAR OCEAN,152.3
1.321,23.1,2.0,0.48,574.0,1.83,39.657,-121.638,INLAND,79.5
3.056,50.0,4.06,0.87,562.0,3.64,34.312,-121.236,<1H OCEAN,212.5
2.143,2.6,2.79,0.73,1206.0,2.56,34.953,-114.348,INLAND,92.3
2.848,31.2,3.4,0.69,299.0,0.92,37.661,-114.383,INLAND,151.3
1.805,38.9,2.45,0.56,3392.0,3.16,37.076,-122.43,<1H OCEAN,155.4
4.545,39.8,5.42,1.07,580.0,1.75,36.17,-122.17,INLAND,237.2
1.385,37.5,2.0,0.43,691.0,3.92,39.587,-119.381,INLAND,43.0
7.942,38.0,9.57,1.95,519.0,2.77,37.865,-122.812,NEAR OCEAN,454.6
6.413,4.0,6.94,1.34,204.0,3.06,39.248,-119.26,INLAND,216.2
4.23,28.2,4.78,0.89,1615.0,3.42,33.956,-120.306,INLAND,179.3
1.248,40.9,2.54,0.57,1272.0,3.08,39.425,-121.054,INLAND,97.3
2.851,5.8,2.45,0.54,2191.0,2.53,36.885,-116.074,<1H OCEAN,181.1
4.376,1.6,6.03,1.35,250.0,3.9,32.821,-116.019,INLAND,156.9
5.536,42.5,6.96,1.39,3368.0,2.91,34.728,-114.421,INLAND,254.5
5.518,37.3,6.64,1.23,682.0,2.1,32.745,-122.069,NEAR OCEAN,328.7
4.908,22.0,5.05,1.01,3131.0,3.28,36.84,-115.417,NEAR OCEAN,320.9
0.685,49.0,2.0,0.48,336.0,2.94,35.596,-118.922,INLAND,65.0
1.674,40.1,2.0,0.19,1835.0,2.98,41.881,-118.385,<1H OCEAN,136.1
4.985,50.4,6.58,1.31,1239.0,3.1,40.751,-115.337,NEAR BAY,297.3
2.234,48.4,2.35,0.54,732.0,3.04,40.344,-114.874,<1H OCEAN,189.7
3.826,25.5,4.45,0.91,299.0,4.17,37.261,-117.032,NEAR BAY,219.6
8.237,39.5,10.01,1.97,1314.0,2.36,40.167,-120.822,<1H OCEAN,424.1
2.166,35.1,2.28,0.34,232.0,1.34,35.035,-119.403,<1H OCEAN,196.0
5.754,42.4,7.38,1.48,1035.0,3.0,37.826,-118.149,NEAR OCEAN,312.4
3.947,41.2,4.59,0.8,1312.0,3.67,36.233,-116.014,NEAR OCEAN,304.9
10.308,8.8,11.43,2.35,1782.0,1.75,34.128,-117.721,NEAR OCEAN,500.0
3.954,12.9,4.82,0.97,5898.0,3.29,33.19,-120.646,<1H OCEAN,227.5
2.254,14.6,3.11,0.77,561.0,1.87,37.803,-120.121,NEAR OCEAN,185.6
3.254,42.7,4.62,0.73,667.0,3.68,33.428,-123.796,INLAND,133.2
1.609,42.3,2.21,0.41,701.0,3.01,39.321,-115.057,INLAND,99.1
4.797,26.3,6.33,1.34,1778.0,2.3,41.254,-123.419,NEAR BAY,254.8
2.51,30.6,3.26,0.77,3423.0,1.72,34.04,-118.501,INLAND,97.1
3.251,43.2,3.42,0.76,4595.0,4.74,36.974,-115.583,<1H OCEAN,201.4
6.014,16.9,6.83,1.27,3698.0,4.84,39.518,-120.091,INLAND,253.3
1.494,3.6,2.0,0.35,2738.0,2.14,35.225,-116.299,INLAND,68.0
