EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,Attrition
EMP-00078,44,Research & Development,Laboratory Technician,6843.8,1,3,3,No,No
EMP-00079,21,Research & Development,Healthcare Representative,3376.04,1,4,4,No,No
EMP-00080,47,Sales,Manufacturing Director,14201.15,2,4,2,Yes,No
EMP-00081,44,Human Resources,Laboratory Technician,1622.19,5,4,3,No,No
EMP-00082,39,Sales,Manufacturing Director,1978.77,1,1,1,No,Yes
EMP-00083,25,Sales,Laboratory Technician,13189.56,6,4,2,Yes,No
EMP-00084,56,Research & Development,Laboratory Technician,14556.13,7,4,2,No,No
EMP-00085,35,Sales,Healthcare Representative,4535.09,22,4,2,Yes,No
EMP-00086,54,Sales,Research Scientist,5365.99,15,3,3,No,Yes
EMP-00087,55,Sales,Sales Executive,11977.31,6,1,1,No,Yes
EMP-00088,20,Sales,Laboratory Technician,10141.27,10,3,2,Yes,No
EMP-00089,33,Sales,Research Scientist,10410.69,3,3,2,Yes,No
EMP-00090,33,Sales,Manager,3591.93,6,3,2,Yes,Yes
EMP-00091,43,Research & Development,Sales Executive,9488.33,4,4,2,Yes,No
EMP-00092,38,Research & Development,Healthcare Representative,1823.23,3,3,2,No,No
EMP-00093,57,Research & Development,Manufacturing Director,4503.35,9,2,4,No,No
EMP-00094,37,Research & Development,Research Scientist,2719.64,3,3,3,Yes,No
EMP-00095,28,Sales,Manufacturing Director,1664.04,3,1,3,Yes,No
EMP-00096,32,Sales,Manufacturing Director,5821.22,3,1,4,No,No
EMP-00097,38,Research & Development,Sales Executive,1856.57,13,3,3,No,No
EMP-00098,29,Research & Development,Manager,2076.06,2,4,3,No,No
EMP-00099,57,Sales,Research Scientist,1883.76,3,4,3,No,No
EMP-00100,22,Human Resources,Laboratory Technician,18108.53,14,3,3,No,No
EMP-00101,36,Research & Development,Manager,1680.13,1,4,4,Yes,No
EMP-00102,42,Sales,Sales Executive,2914.7,19,1,2,Yes,No
EMP-00103,46,Human Resources,Research Scientist,6249.97,15,4,2,No,No
EMP-00104,28,Research & Development,Laboratory Technician,9301.98,4,4,1,No,No
EMP-00105,24,Human Resources,Manufacturing Director,5716.56,7,3,4,No,No
EMP-00106,38,Sales,Healthcare Representative,18378.73,30,1,3,Yes,Yes
EMP-00107,48,Sales,Healthcare Representative,3354.22,5,3,4,No,No
EMP-00108,34,Research & Development,Sales Executive,4374.01,1,2,3,No,No
EMP-00109,55,Sales,Manager,9249.25,12,3,3,No,No
EMP-00110,31,Sales,Laboratory Technician,6651.39,1,2,3,Yes,No
EMP-00111,33,Research & Development,Laboratory Technician,2583.98,2,3,3,Yes,Yes
EMP-00112,34,Sales,Healthcare Representative,4607.19,13,2,3,Yes,No
EMP-00113,50,Research & Development,Laboratory Technician,18276.03,2,2,3,No,No
EMP-00114,24,Research & Development,Research Scientist,10445.75,9,2,3,No,No
EMP-00115,22,Research & Development,Research Scientist,2458.27,4,1,2,No,No
EMP-00116,49,Research & Development,Healthcare Representative,2391.85,9,4,3,Yes,No
EMP-00117,31,Research & Development,Manufacturing Director,9431.51,2,2,3,No,No
EMP-00118,34,Research & Development,Manufacturing Director,2497.93,4,3,4,No,Yes
EMP-00119,57,Research & Development,Manufacturing Director,4213.15,3,3,4,Yes,Yes
EMP-00120,47,Research & Development,Healthcare Representative,2397.19,2,1,3,Yes,No
EMP-00121,42,Sales,Sales Executive,1566.47,3,2,1,No,No
EMP-00122,34,Sales,Laboratory Technician,10872.04,3,3,4,No,No
EMP-00123,30,Sales,Research Scientist,8293.26,20,4,1,No,No
EMP-00124,49,Research & Development,Manager,4361.95,5,3,3,No,No
EMP-00125,31,Research & Development,Research Scientist,2282.34,4,3,1,No,No
EMP-00126,38,Sales,Manager,8889.24,5,4,3,No,No
EMP-00127,51,Sales,Sales Executive,3503.85,35,4,3,Yes,No
EMP-00128,20,Research & Development,Laboratory Technician,6380.52,7,4,3,No,No
EMP-00129,35,Research & Development,Manufacturing Director,3213.66,8,3,4,No,No
EMP-00130,30,Research & Development,Manager,4047.63,3,2,3,No,No
EMP-00131,50,Research & Development,Research Scientist,4950.3,4,4,3,No,No
EMP-00132,52,Sales,Manufacturing Director,7959.99,2,1,3,No,No
EMP-00133,55,Human Resources,Manufacturing Director,9528.9,8,3,1,No,No
EMP-00134,49,Sales,Healthcare Representative,4137.77,3,3,3,Yes,No
EMP-00135,57,Research & Development,Healthcare Representative,2693.94,9,3,3,No,No
EMP-00136,23,Research & Development,Laboratory Technician,2250.7,2,4,3,No,No
EMP-00137,44,Research & Development,Research Scientist,3374.92,4,2,3,No,Yes
EMP-00138,53,Research & Development,Healthcare Representative,8782.78,4,4,3,No,No
EMP-00139,36,Research & Development,Laboratory Technician,2940.81,2,2,3,No,No
EMP-00140,52,Research & Development,Sales Executive,1719.09,1,1,3,Yes,Yes
EMP-00141,49,Research & Development,Manufacturing Director,5238.36,3,3,3,Yes,No
EMP-00142,32,Sales,Research Scientist,1653.86,5,4,4,No,No
EMP-00143,31,Research & Development,Research Scientist,11229.78,7,3,3,Yes,No
EMP-00144,51,Sales,Laboratory Technician,6600.26,4,3,1,No,No
EMP-00145,42,Research & Development,Healthcare Representative,2835.83,5,3,3,Yes,Yes
EMP-00146,48,Research & Development,Manufacturing Director,4349.25,5,1,3,No,Yes
EMP-00147,53,Research & Development,Manufacturing Director,7548.3,5,3,1,No,No
EMP-00148,38,Research & Development,Research Scientist,12629.32,1,3,3,No,No
EMP-00149,31,Research & Development,Research Scientist,10837.87,4,4,3,No,No
EMP-00150,23,Research & Development,Manufacturing Director,1824.3,2,2,3,Yes,Yes
EMP-00151,44,Sales,Sales Executive,1880.8,5,2,4,Yes,Yes
EMP-00152,45,Research & Development,Laboratory Technician,5597.77,9,3,4,Yes,No
EMP-00153,37,Human Resources,Sales Executive,4587.74,6,3,2,Yes,No
EMP-00154,49,Research & Development,Healthcare Representative,3059.86,2,3,3,Yes,No
EMP-00155,53,Research & Development,Sales Executive,18316.23,2,2,3,No,No
EMP-00156,52,Research & Development,Sales Executive,7671.63,1,1,2,Yes,No
EMP-00157,50,Sales,Healthcare Representative,6731.55,4,4,2,No,No
EMP-00158,50,Research & Development,Manager,2400.33,4,3,2,Yes,No
EMP-00159,32,Research & Development,Manager,3002.9,2,3,2,No,No
EMP-00160,43,Research & Development,Laboratory Technician,19645.64,9,3,4,Yes,No
EMP-00161,24,Research & Development,Manufacturing Director,8644.47,4,3,2,No,No
EMP-00162,20,Research & Development,Sales Executive,13535.36,7,4,2,No,No
EMP-00163,53,Research & Development,Laboratory Technician,6883.91,7,3,2,No,No
EMP-00164,28,Sales,Healthcare Representative,3940.71,6,2,3,No,No
EMP-00165,27,Sales,Manager,6786.0,15,3,2,No,No
EMP-00166,55,Research & Development,Laboratory Technician,1822.58,1,2,1,No,No
EMP-00167,48,Sales,Manager,5624.24,1,3,3,No,No
EMP-00168,54,Sales,Sales Executive,11626.03,8,3,2,Yes,No
EMP-00169,24,Research & Development,Manufacturing Director,6059.42,3,1,3,No,No
EMP-00170,29,Research & Development,Healthcare Representative,1534.06,27,4,3,No,No
EMP-00171,57,Research & Development,Healthcare Representative,6836.41,2,2,1,No,No
EMP-00172,29,Research & Development,Sales Executive,7333.12,2,4,1,No,Yes
EMP-00173,30,Sales,Manager,5006.42,6,2,2,Yes,No
EMP-00174,27,Sales,Laboratory Technician,9119.85,3,4,4,No,Yes
EMP-00175,23,Research & Development,Manufacturing Director,2517.05,3,3,2,Yes,Yes
EMP-00176,37,Research & Development,Healthcare Representative,3866.57,16,1,4,Yes,No
EMP-00177,39,Research & Development,Sales Executive,8916.48,1,1,4,No,No
EMP-00178,22,Sales,Sales Executive,5665.01,5,1,3,No,No
EMP-00179,34,Research & Development,Research Scientist,24804.61,3,1,3,No,Yes
EMP-00180,27,Research & Development,Manager,1823.01,3,2,3,Yes,No
EMP-00181,25,Sales,Research Scientist,2760.56,2,2,3,No,No
EMP-00182,55,Sales,Laboratory Technician,2499.23,1,1,3,Yes,No
EMP-00183,39,Research & Development,Sales Executive,18357.81,1,3,3,No,No
EMP-00184,51,Sales,Manager,10655.54,28,3,1,No,No
EMP-00185,25,Research & Development,Laboratory Technician,2142.86,7,3,3,No,No
EMP-00186,35,Sales,Laboratory Technician,3464.94,10,2,3,No,No
EMP-00187,21,Sales,Manufacturing Director,1743.14,1,4,2,No,No
EMP-00188,37,Research & Development,Research Scientist,6005.47,1,3,4,No,No
EMP-00189,45,Sales,Laboratory Technician,3310.18,6,3,2,No,No
EMP-00190,39,Sales,Manufacturing Director,2840.19,8,1,4,No,No
EMP-00191,35,Research & Development,Manufacturing Director,4832.18,4,3,3,No,No
EMP-00192,40,Sales,Manager,8643.48,4,3,3,No,No
EMP-00193,33,Research & Development,Research Scientist,3828.19,3,4,4,No,No
EMP-00194,37,Research & Development,Research Scientist,7874.44,2,4,4,No,No
EMP-00195,27,Sales,Sales Executive,4158.73,9,3,2,Yes,No
EMP-00196,24,Sales,Laboratory Technician,18841.77,2,4,3,Yes,No
EMP-00197,43,Research & Development,Manufacturing Director,4159.33,3,3,1,No,No
EMP-00198,48,Research & Development,Sales Executive,4975.39,7,1,3,Yes,Yes
EMP-00199,28,Research & Development,Manager,4286.02,1,4,4,No,No
EMP-00200,37,Research & Development,Laboratory Technician,2942.93,9,2,2,Yes,No
EMP-00201,37,Sales,Laboratory Technician,2421.12,15,3,1,No,No
EMP-00202,47,Research & Development,Sales Executive,14714.53,1,1,3,No,No
EMP-00203,56,Research & Development,Manufacturing Director,3088.91,6,2,3,No,No
EMP-00204,29,Sales,Sales Executive,6999.15,4,3,3,No,No
EMP-00205,39,Sales,Laboratory Technician,3374.56,1,2,3,Yes,Yes
EMP-00206,57,Research & Development,Sales Executive,17226.28,8,3,3,No,No
EMP-00207,42,Human Resources,Sales Executive,21508.59,6,3,3,No,No
EMP-00208,39,Sales,Manager,9345.84,7,4,3,Yes,No
EMP-00209,42,Research & Development,Laboratory Technician,5419.57,11,3,4,No,No
EMP-00210,24,Sales,Research Scientist,5014.65,3,4,4,No,Yes
EMP-00211,46,Research & Development,Manager,3295.18,7,4,3,No,No
EMP-00212,28,Sales,Manufacturing Director,2085.64,9,2,2,No,No
EMP-00213,55,Research & Development,Laboratory Technician,1870.63,2,4,3,No,No
EMP-00214,59,Research & Development,Manager,4318.46,20,3,4,No,No
EMP-00215,56,Human Resources,Manager,24451.65,3,1,3,No,Yes
EMP-00216,22,Research & Development,Research Scientist,2775.88,8,1,4,No,No
EMP-00217,55,Research & Development,Sales Executive,3881.62,9,4,3,Yes,No
EMP-00218,54,Sales,Research Scientist,6115.21,5,2,4,No,No
EMP-00219,55,Sales,Laboratory Technician,3445.89,1,1,1,No,No
EMP-00220,48,Research & Development,Manager,1516.36,2,3,3,No,No
EMP-00221,52,Research & Development,Manager,3770.43,2,2,3,No,No
EMP-00222,45,Research & Development,Laboratory Technician,8848.13,5,3,4,No,No
EMP-00223,27,Sales,Sales Executive,14467.6,2,1,3,No,No
EMP-00224,28,Research & Development,Manager,2947.69,5,1,2,No,No
EMP-00225,41,Sales,Laboratory Technician,12959.31,3,3,4,Yes,Yes
EMP-00226,24,Research & Development,Healthcare Representative,10583.36,1,3,3,No,No
EMP-00227,55,Sales,Research Scientist,3849.43,3,4,2,No,No
EMP-00228,51,Research & Development,Healthcare Representative,1521.1,6,3,3,No,Yes
EMP-00229,49,Sales,Healthcare Representative,9885.89,10,4,3,No,No
EMP-00230,36,Research & Development,Research Scientist,3020.8,1,2,3,No,Yes
EMP-00231,49,Research & Development,Laboratory Technician,7845.55,2,3,4,No,No
EMP-00232,28,Research & Development,Research Scientist,5313.74,27,3,3,No,No
EMP-00233,23,Human Resources,Sales Executive,2627.69,2,4,3,Yes,No
EMP-00234,31,Sales,Healthcare Representative,6201.27,10,4,2,No,No
EMP-00235,54,Research & Development,Manager,8013.71,5,3,3,Yes,Yes
EMP-00236,39,Research & Development,Healthcare Representative,4394.85,1,3,2,Yes,No
EMP-00237,36,Sales,Laboratory Technician,7700.87,7,4,2,No,No
EMP-00238,41,Research & Development,Research Scientist,3836.16,21,2,2,No,Yes
EMP-00239,26,Research & Development,Manager,19161.07,14,1,1,No,No
EMP-00240,58,Research & Development,Manufacturing Director,2733.83,8,3,2,No,No
EMP-00241,27,Research & Development,Manager,8269.91,5,2,3,No,No
EMP-00242,28,Research & Development,Laboratory Technician,7731.17,3,3,2,No,No
EMP-00243,25,Sales,Laboratory Technician,4892.27,3,4,2,No,No
EMP-00244,38,Research & Development,Laboratory Technician,3440.87,3,2,4,No,No
EMP-00245,41,Sales,Research Scientist,4155.71,16,4,3,No,No
EMP-00246,39,Research & Development,Laboratory Technician,5967.91,2,2,3,No,No
EMP-00247,39,Human Resources,Sales Executive,4900.95,3,2,2,No,No
EMP-00248,46,Research & Development,Sales Executive,21382.81,4,2,3,Yes,Yes
EMP-00249,46,Research & Development,Healthcare Representative,3513.09,4,3,3,Yes,Yes
EMP-00250,26,Research & Development,Healthcare Representative,2010.49,1,2,3,Yes,No
EMP-00251,43,Research & Development,Research Scientist,4669.8,2,4,3,No,No
EMP-00252,27,Research & Development,Manufacturing Director,2848.97,5,3,3,No,No
EMP-00253,22,Sales,Healthcare Representative,5814.49,9,3,4,No,No
EMP-00254,30,Sales,Healthcare Representative,4805.89,6,1,4,No,No
EMP-00255,55,Research & Development,Healthcare Representative,8288.05,3,1,2,No,Yes
EMP-00256,21,Research & Development,Manager,5352.9,7,3,3,Yes,No
EMP-00257,20,Research & Development,Healthcare Representative,4035.54,7,4,1,No,No
EMP-00258,26,Research & Development,Laboratory Technician,2074.51,2,3,3,Yes,Yes
EMP-00259,43,Research & Development,Healthcare Representative,2075.97,1,3,3,No,No
EMP-00260,31,Research & Development,Manager,6101.82,11,4,3,No,No
EMP-00261,27,Sales,Research Scientist,11069.52,5,2,3,No,No
EMP-00262,32,Research & Development,Manager,3911.01,2,3,3,No,No
EMP-00263,25,Sales,Laboratory Technician,4905.16,2,3,3,No,No
EMP-00264,58,Research & Development,Manager,5525.52,9,2,1,No,No
EMP-00265,43,Sales,Laboratory Technician,4419.34,7,4,3,Yes,No
EMP-00266,43,Research & Development,Research Scientist,1776.35,18,3,4,No,No
EMP-00267,57,Sales,Manufacturing Director,5502.75,4,1,1,Yes,Yes
EMP-00268,26,Sales,Healthcare Representative,2163.57,1,2,2,No,No
EMP-00269,29,Research & Development,Sales Executive,5151.7,8,3,3,No,No
EMP-00270,49,Sales,Manufacturing Director,8220.0,2,3,3,No,No
EMP-00271,58,Research & Development,Healthcare Representative,1524.58,3,4,3,No,No
EMP-00272,43,Research & Development,Sales Executive,4033.3,2,3,3,Yes,No
EMP-00273,46,Research & Development,Laboratory Technician,7661.41,3,3,4,Yes,No
EMP-00274,49,Research & Development,Manager,4883.61,11,2,4,Yes,No
EMP-00275,34,Research & Development,Laboratory Technician,2707.26,6,1,2,Yes,Yes
EMP-00276,21,Sales,Laboratory Technician,6881.54,1,3,3,No,Yes
EMP-00277,27,Research & Development,Healthcare Representative,8385.17,6,4,3,No,No
EMP-00278,36,Research & Development,Research Scientist,3526.08,7,3,2,No,Yes
EMP-00279,32,Sales,Laboratory Technician,3088.36,14,3,3,No,No
EMP-00280,37,Sales,Laboratory Technician,5044.93,13,3,3,No,No
EMP-00281,40,Research & Development,Laboratory Technician,3546.59,1,3,4,No,Yes
EMP-00282,55,Research & Development,Manager,9633.77,13,1,4,Yes,No
EMP-00283,31,Research & Development,Healthcare Representative,8294.19,1,4,1,No,No
EMP-00284,21,Research & Development,Sales Executive,3182.12,2,3,3,Yes,No
EMP-00285,39,Research & Development,Manufacturing Director,4247.73,1,3,3,No,Yes
EMP-00286,42,Research & Development,Laboratory Technician,11411.84,2,3,2,No,Yes
EMP-00287,40,Research & Development,Manufacturing Director,2217.47,11,2,3,No,No
EMP-00288,50,Sales,Research Scientist,7815.15,8,3,4,Yes,Yes
EMP-00289,35,Sales,Research Scientist,3214.38,8,3,3,No,No
EMP-00290,32,Research & Development,Research Scientist,2072.58,16,2,4,No,No
EMP-00291,23,Research & Development,Laboratory Technician,2059.83,4,4,3,No,No
EMP-00292,21,Research & Development,Manufacturing Director,2955.12,1,3,3,No,No
EMP-00293,20,Research & Development,Sales Executive,5074.12,7,4,2,No,No
EMP-00294,45,Sales,Healthcare Representative,12231.47,13,4,1,Yes,No
EMP-00295,49,Sales,Manufacturing Director,3124.33,24,3,3,No,No
EMP-00296,57,Research & Development,Healthcare Representative,2499.8,3,2,3,No,No
EMP-00297,39,Sales,Manufacturing Director,4431.04,11,4,3,Yes,No
EMP-00298,44,Sales,Laboratory Technician,2266.57,12,3,3,No,No
EMP-00299,38,Research & Development,Sales Executive,2926.63,1,3,4,No,No
EMP-00300,46,Research & Development,Laboratory Technician,20916.76,7,1,2,Yes,Yes
EMP-00301,29,Research & Development,Research Scientist,5174.52,2,3,3,Yes,Yes
EMP-00302,36,Research & Development,Sales Executive,8394.27,4,3,3,Yes,Yes
EMP-00303,21,Human Resources,Manager,2571.07,14,2,2,Yes,Yes
EMP-00304,36,Sales,Manager,23066.7,10,4,4,Yes,No
EMP-00305,26,Research & Development,Manufacturing Director,4714.94,6,3,3,Yes,No
EMP-00306,35,Research & Development,Laboratory Technician,9036.92,11,3,1,Yes,No
EMP-00307,46,Sales,Healthcare Representative,1598.13,2,3,4,Yes,No
EMP-00308,20,Research & Development,Laboratory Technician,10362.95,2,1,4,No,No
EMP-00309,41,Research & Development,Laboratory Technician,1873.24,2,4,3,No,No
EMP-00310,41,Research & Development,Manufacturing Director,12678.28,10,2,3,No,No
EMP-00311,46,Research & Development,Manufacturing Director,2193.59,14,4,4,No,No
EMP-00312,35,Research & Development,Research Scientist,4919.08,6,3,2,Yes,No
EMP-00313,55,Research & Development,Sales Executive,1971.08,20,2,3,No,No
EMP-00314,35,Research & Development,Laboratory Technician,4167.34,9,3,2,No,No
EMP-00315,43,Research & Development,Healthcare Representative,3100.4,6,4,3,No,No
EMP-00316,54,Research & Development,Manager,3952.01,6,3,4,No,No
EMP-00317,52,Research & Development,Manager,5043.89,12,3,3,No,No
EMP-00318,36,Research & Development,Manufacturing Director,4268.16,1,2,3,No,No
EMP-00319,24,Research & Development,Manufacturing Director,1605.46,2,4,3,No,No
EMP-00320,54,Sales,Research Scientist,10459.89,2,2,4,No,No
EMP-00321,38,Research & Development,Sales Executive,1948.96,14,3,3,No,No
EMP-00322,53,Research & Development,Manager,19247.53,18,1,1,Yes,No
EMP-00323,51,Research & Development,Research Scientist,10076.77,3,2,3,No,No
EMP-00324,44,Sales,Manufacturing Director,5208.5,16,3,3,No,No
EMP-00325,41,Research & Development,Healthcare Representative,2765.82,5,2,2,No,No
EMP-00326,58,Human Resources,Research Scientist,1905.87,4,4,4,Yes,No
EMP-00327,46,Research & Development,Laboratory Technician,6514.08,12,3,3,Yes,No
EMP-00328,52,Research & Development,Manufacturing Director,2512.64,5,4,4,Yes,Yes
EMP-00329,27,Research & Development,Manufacturing Director,7445.99,4,3,3,No,No
EMP-00330,49,Research & Development,Research Scientist,9540.7,1,1,1,Yes,No
EMP-00331,45,Sales,Healthcare Representative,21780.13,1,3,1,Yes,No
EMP-00332,34,Research & Development,Research Scientist,4657.26,7,2,4,No,No
EMP-00333,55,Research & Development,Healthcare Representative,18041.3,1,3,1,No,No
EMP-00334,31,Research & Development,Manufacturing Director,2227.74,9,3,3,No,No
EMP-00335,31,Research & Development,Research Scientist,9642.28,6,4,2,No,No
EMP-00336,23,Research & Development,Sales Executive,3506.9,4,1,3,No,Yes
EMP-00337,22,Research & Development,Manager,3542.26,8,4,2,Yes,No
EMP-00338,56,Research & Development,Research Scientist,2907.87,31,3,1,No,No
EMP-00339,57,Sales,Research Scientist,2357.01,2,3,3,No,No
EMP-00340,51,Research & Development,Sales Executive,4127.03,6,2,2,Yes,No
EMP-00341,45,Research & Development,Sales Executive,21143.01,12,3,3,No,No
EMP-00342,23,Research & Development,Laboratory Technician,3301.52,1,4,3,No,No
EMP-00343,20,Sales,Sales Executive,4281.86,2,4,3,No,No
EMP-00344,24,Research & Development,Healthcare Representative,2667.41,5,3,2,Yes,Yes
EMP-00345,21,Research & Development,Manager,3350.23,5,3,3,No,No
EMP-00346,30,Research & Development,Manager,1755.24,1,2,4,No,No
EMP-00347,28,Sales,Laboratory Technician,15559.58,4,4,3,No,No
EMP-00348,27,Research & Development,Healthcare Representative,4708.26,5,3,3,No,No
EMP-00349,58,Research & Development,Laboratory Technician,7441.46,4,4,4,No,No
EMP-00350,34,Research & Development,Laboratory Technician,4740.39,8,3,4,No,No
EMP-00351,28,Research & Development,Manager,8117.4,10,2,3,Yes,No
EMP-00352,49,Research & Development,Healthcare Representative,4936.94,4,3,4,No,No
EMP-00353,48,Research & Development,Manufacturing Director,6941.11,4,3,1,No,Yes
EMP-00354,44,Research & Development,Manager,6695.48,8,2,4,No,No
EMP-00355,41,Research & Development,Manufacturing Director,4931.85,5,2,2,No,No
EMP-00356,53,Research & Development,Research Scientist,2679.57,13,4,3,No,Yes
EMP-00357,41,Sales,Manufacturing Director,2571.29,5,1,4,No,No
EMP-00358,49,Sales,Manager,10832.54,6,4,2,Yes,No
EMP-00359,29,Research & Development,Research Scientist,2078.76,1,2,2,No,No
EMP-00360,24,Sales,Manufacturing Director,5186.66,12,4,3,No,No
EMP-00361,24,Sales,Research Scientist,4642.04,4,4,3,No,No
EMP-00362,21,Research & Development,Manager,8706.62,8,3,1,No,No
EMP-00363,49,Sales,Research Scientist,2154.66,4,4,3,No,Yes
EMP-00364,41,Research & Development,Manager,6731.27,1,4,3,No,No
EMP-00365,32,Research & Development,Sales Executive,5689.62,4,1,2,No,No
EMP-00366,58,Research & Development,Manager,6935.86,1,4,3,No,No
